row_id,leaf,item_id,field,answer_type,annotator_answer,undeterminable,notes,minutes_spent
R0001,board_seats_investor,0001047469-09-010296_a2195611zex-4_1,board_seats_investor,numeric,,,,
R0002,fully_diluted_basis,ignentertainment_ex,fully_diluted_basis,binary,,,,
R0003,option_strike_409a,0001125282-06-006236_0p03,option_strike_409a,numeric,,,,
R0004,safe_pre_post,1657493_000121390021028831,safe_cap_type,binary,,,,
R0005,option_strike_409a,0001193125-11-194811_7p5,option_strike_409a,numeric,,,,
R0006,safe_pre_post,1777274_000121390020033888,safe_cap_type,binary,,,,
R0007,option_strike_409a,0001125282-06-006236_0p25,option_strike_409a,numeric,,,,
R0008,safe_valuation_cap,2010788_000149315224005725_cap,safe_valuation_cap,numeric,,,,
R0009,option_strike_409a,0001125282-06-007804_2p0,option_strike_409a,numeric,,,,
R0010,cliff_present,0000020740-17-000006_a201610kex1012,cliff_present,binary,,,,
R0011,flag_internal_inconsistency,ignentertainment_inconsistent,flag_internal_inconsistency,binary,,,,
R0012,securities_exemption,1804648,securities_exemption,categorical,,,,
R0013,preference_seniority,878720_000089843001500356,preference_seniority,binary,,,,
R0014,board_seats_investor,0001437749-22-001514_ex_325546,board_seats_investor,numeric,,,,
R0015,round_size,1651590,round_size,numeric,,,,
R0016,information_rights,0000950134-08-014307_f42787exv10w2,information_rights,binary,,,,
R0017,round_size,1597815,round_size,numeric,,,,
R0018,cliff_present,0001299933-05-001251_exhibit2,cliff_present,binary,,,,
R0019,safe_cap_vs_discount_applies,creci_both_mfn,safe_cap_vs_discount_applies,categorical,,,,
R0020,vesting_schedule,0001558370-21-008713_giii-20210628x8k,vesting_schedule,multi_part,,,,
R0021,information_rights,0000950123-20-004953_filename4,information_rights,binary,,,,
R0022,convert_vs_preference_decision,example5_take_preference,convert_vs_preference_decision,binary,,,,
R0023,flag_internal_inconsistency,hyrecar_inconsistent,flag_internal_inconsistency,binary,,,,
R0024,liquidation_preference_multiple,1274991_000119312510075918,liquidation_preference_multiple,categorical,,,,
R0025,form_d_fields,1456554_000145655410000002,form_d_field_value,numeric,,,,
R0026,fully_diluted_basis,actelis_ex,fully_diluted_basis,binary,,,,
R0027,cliff_present,0001144204-15-053727_v419640_ex10-1,cliff_present,binary,,,,
R0028,investor_ownership_pct,uber_pif_investor,investor_ownership_pct,numeric,,,,
R0029,safe_cap_vs_discount_applies,rentberry_both_mfn,safe_cap_vs_discount_applies,categorical,,,,
R0030,option_strike_409a,0001125282-06-006236_11p0,option_strike_409a,numeric,,,,
R0031,safe_cap_vs_discount_applies,complete_both_mfn,safe_cap_vs_discount_applies,categorical,,,,
R0032,investor_ownership_pct,uber_benchmark_investor,investor_ownership_pct,numeric,,,,
R0033,vesting_schedule,0000020740-17-000006_a201610kex1012,vesting_schedule,multi_part,,,,
R0034,securities_exemption,1102449,securities_exemption,categorical,,,,
R0035,board_seats_investor,0001104659-17-048201_a17-18633_1ex10d6_pjc,board_seats_investor,numeric,,,,
R0036,vesting_schedule,1452751_000119312513403444,vesting_schedule,multi_part,,,,
R0037,board_seats_investor,0001047469-03-010357_a2106288zex-4_8,board_seats_investor,numeric,,,,
R0038,safe_pre_post,1851491_000157587226000456,safe_cap_type,binary,,,,
R0039,safe_cap_vs_discount_applies,flowhub_cap_only,safe_cap_vs_discount_applies,categorical,,,,
R0040,securities_exemption,1902507,securities_exemption,categorical,,,,
R0041,preference_seniority,1341470_000119312509004895,preference_seniority,binary,,,,
R0042,liquidation_preference_multiple,1062195_000110465903012203,liquidation_preference_multiple,categorical,,,,
R0043,safe_cap_vs_discount_applies,taoweave_both_mfn,safe_cap_vs_discount_applies,categorical,,,,
R0044,liquidation_preference_multiple,1447362_000114036119009024,liquidation_preference_multiple,categorical,,,,
R0045,investor_ownership_pct,uber_sb_cayman_investor,investor_ownership_pct,numeric,,,,
R0046,securities_exemption,1444307,securities_exemption,categorical,,,,
R0047,securities_exemption,1795387,securities_exemption,categorical,,,,
R0048,securities_exemption,1947170,securities_exemption,categorical,,,,
R0049,safe_pre_post,837852_000110465921011524,safe_cap_type,binary,,,,
R0050,preference_seniority,1123195_000112319502000020,preference_seniority,binary,,,,
R0051,fully_diluted_basis,actelis_body,fully_diluted_basis,binary,,,,
R0052,board_seats_investor,0001104659-17-048201_a17-18633_1ex10d6_opal,board_seats_investor,numeric,,,,
R0053,securities_exemption,1981408,securities_exemption,categorical,,,,
R0054,fully_diluted_basis,sybari_ex,fully_diluted_basis,binary,,,,
R0055,liquidation_preference_multiple,1236997_000106299308001834,liquidation_preference_multiple,categorical,,,,
R0056,s1_use_of_proceeds,civitas,s1_use_of_proceeds,multi_part,,,,
R0057,information_rights,0000950134-06-004765_c01111s1exv4w4,information_rights,binary,,,,
R0058,fully_diluted_basis,castlebio_body,fully_diluted_basis,binary,,,,
R0059,flag_internal_inconsistency,actelis_consistent,flag_internal_inconsistency,binary,,,,
