priority,block,leaf,item,field,oracle_says,models_settled,models_disagreeing,top_alternative,models_on_alternative,convergence,oracle_correct,corrected_value,notes
1,FLAGGED,preference_seniority,9,preference_seniority,pari-passu,12,12,stacked,12,1.000,,,
2,FLAGGED,preference_seniority,5,preference_seniority,pari-passu,11,11,stacked,11,1.000,,,
3,FLAGGED,liquidation_preference_multiple,2,liquidation_preference_multiple,1x,11,11,other,11,1.000,,,
4,FLAGGED,liquidation_preference_multiple,4,liquidation_preference_multiple,2x,9,8,1x,7,0.778,,,
5,FLAGGED,board_seats_investor,2,board_seats_investor,3.0,9,7,1.0,7,0.778,,,
6,FLAGGED,liquidation_preference_multiple,3,liquidation_preference_multiple,2x,7,7,1x,6,0.857,,,
7,FLAGGED,board_seats_investor,5,board_seats_investor,2.0,7,7,1.0,6,0.857,,,
8,FLAGGED,information_rights,5,information_rights,yes,9,6,no,6,0.667,,,
9,FLAGGED,vesting_schedule,7,vesting_schedule,4yr/no-cliff,9,5,4yr/1yr-cliff,5,0.556,,,
10,FLAGGED,board_seats_investor,6,board_seats_investor,5.0,11,4,9.0,4,0.364,,,
11,FLAGGED,cliff_present,10,cliff_present,no,10,2,yes,2,0.200,,,
12,FLAGGED,cliff_present,11,cliff_present,no,11,2,yes,2,0.182,,,
13,FLAGGED,safe_pre_post,10,safe_cap_type,pre-money,12,2,post-money,2,0.167,,,
14,FLAGGED,safe_pre_post,11,safe_cap_type,pre-money,12,2,post-money,2,0.167,,,
15,FLAGGED,safe_pre_post,12,safe_cap_type,pre-money,12,2,post-money,2,0.167,,,
16,FLAGGED,safe_pre_post,13,safe_cap_type,pre-money,12,2,post-money,2,0.167,,,
17,FLAGGED,safe_pre_post,15,safe_cap_type,pre-money,12,2,post-money,2,0.167,,,
18,FLAGGED,safe_cap_vs_discount_applies,2,safe_cap_vs_discount_applies,both-mfn,12,2,cap,2,0.167,,,
19,FLAGGED,safe_valuation_cap,7,safe_valuation_cap,150000000.0,12,2,15000000.0,2,0.167,,,
20,FLAGGED,convert_vs_preference_decision,1,convert_vs_preference_decision,take-preference,12,2,convert,2,0.167,,,
21,FLAGGED,cliff_present,9,cliff_present,no,12,2,yes,2,0.167,,,
22,FLAGGED,vesting_schedule,3,vesting_schedule,3yr/cliff,12,2,4yr/1yr-cliff,2,0.167,,,
23,FLAGGED,vesting_schedule,4,vesting_schedule,4yr/no-cliff,12,2,4yr/1yr-cliff,2,0.167,,,
24,FLAGGED,vesting_schedule,5,vesting_schedule,4yr/no-cliff,12,2,4yr/1yr-cliff,2,0.167,,,
25,FLAGGED,vesting_schedule,6,vesting_schedule,4yr/no-cliff,12,2,4yr/1yr-cliff,2,0.167,,,
26,FLAGGED,preference_seniority,6,preference_seniority,pari-passu,12,2,stacked,2,0.167,,,
27,FLAGGED,preference_seniority,7,preference_seniority,pari-passu,12,2,stacked,2,0.167,,,
28,FLAGGED,preference_seniority,10,preference_seniority,pari-passu,12,2,stacked,2,0.167,,,
29,FLAGGED,round_size,7,round_size,5500000.0,12,2,6000000.0,2,0.167,,,
30,FLAGGED,round_size,8,round_size,5787732.0,12,2,7263112.0,2,0.167,,,
31,FLAGGED,round_size,9,round_size,5300600.0,12,2,7236095.0,2,0.167,,,
32,FLAGGED,information_rights,7,information_rights,no,12,2,yes,2,0.167,,,
33,FLAGGED,information_rights,9,information_rights,no,12,2,yes,2,0.167,,,
34,FLAGGED,information_rights,10,information_rights,no,12,2,yes,2,0.167,,,
35,FLAGGED,information_rights,11,information_rights,no,12,2,yes,2,0.167,,,
36,CONTROL (random),securities_exemption,5,securities_exemption,506c,8,1,506b,1,0.125,,,
37,CONTROL (random),liquidation_preference_multiple,8,liquidation_preference_multiple,3x,10,1,other,1,0.100,,,
38,CONTROL (random),fully_diluted_basis,4,fully_diluted_basis,issued-outstanding,11,1,fully-diluted,1,0.091,,,
39,CONTROL (random),safe_cap_vs_discount_applies,0,safe_cap_vs_discount_applies,discount,11,1,cap,1,0.091,,,
40,CONTROL (random),liquidation_preference_multiple,0,liquidation_preference_multiple,1x,11,1,other,1,0.091,,,
41,CONTROL (random),round_size,5,round_size,6085780.0,11,1,12085780.0,1,0.091,,,
42,CONTROL (random),board_seats_investor,1,board_seats_investor,1.0,11,1,2.0,1,0.091,,,
43,CONTROL (random),fully_diluted_basis,0,fully_diluted_basis,fully-diluted,11,0,,0,0.000,,,
44,CONTROL (random),fully_diluted_basis,6,fully_diluted_basis,issued-outstanding,10,0,,0,0.000,,,
