leaf,item_id,field,annotator_answer,undeterminable,notes,minutes_spent
board_seats_investor,0001047469-03-010357_a2106288zex-4_8,board_seats_investor,,,,
board_seats_investor,0001047469-09-010296_a2195611zex-4_1,board_seats_investor,,,,
board_seats_investor,0001104659-17-048201_a17-18633_1ex10d6_pjc,board_seats_investor,,,,
board_seats_investor,0001104659-17-048201_a17-18633_1ex10d6_opal,board_seats_investor,,,,
board_seats_investor,0001193125-12-119900_d267119dex43_quantum,board_seats_investor,,,,
board_seats_investor,0001193125-12-119900_d267119dex43_tribal,board_seats_investor,,,,
board_seats_investor,0000950134-07-010103_d46152e8vk_mdp,board_seats_investor,,,,
board_seats_investor,0000950134-07-010103_d46152e8vk_mdp_old,board_seats_investor,,,,
board_seats_investor,0001437749-22-001514_ex_325546,board_seats_investor,,,,
cliff_present,0001503707-23-000002_ltipformfinalforedgar,cliff_present,,,,
cliff_present,0001558370-21-008713_giii-20210628x8k,cliff_present,,,,
cliff_present,0000790816-14-000054_bdn8k-annualawards_031414,cliff_present,,,,
cliff_present,0001144204-18-050119_tv502422_10k,cliff_present,,,,
cliff_present,0001299933-11-000951_htm_41195,cliff_present,,,,
cliff_present,0001104659-09-039164_a09-16464_1ex10d1,cliff_present,,,,
cliff_present,0001451809-24-000052_ex1034offerofemployment-sa,cliff_present,,,,
cliff_present,0001144204-15-053727_v419640_ex10-1,cliff_present,,,,
cliff_present,0001516513-23-000036_ex-107xcraigoverpeckofferl,cliff_present,,,,
cliff_present,0001299933-05-001251_exhibit2,cliff_present,,,,
cliff_present,0000020740-17-000006_a201610kex1012,cliff_present,,,,
cliff_present,0001104659-09-054183_a09-26145_18k,cliff_present,,,,
convert_vs_preference_decision,example4_convert,convert_vs_preference_decision,,,,
convert_vs_preference_decision,example5_take_preference,convert_vs_preference_decision,,,,
flag_internal_inconsistency,actelis_consistent,flag_internal_inconsistency,,,,
flag_internal_inconsistency,castlebio_consistent,flag_internal_inconsistency,,,,
flag_internal_inconsistency,castlebio_inconsistent,flag_internal_inconsistency,,,,
flag_internal_inconsistency,hyrecar_inconsistent,flag_internal_inconsistency,,,,
flag_internal_inconsistency,ignentertainment_inconsistent,flag_internal_inconsistency,,,,
form_d_fields,1456554_000145655410000002,form_d_field_value,,,,
form_d_fields,1549044_000154904412000001,form_d_field_value,,,,
fully_diluted_basis,actelis_ex,fully_diluted_basis,,,,
fully_diluted_basis,sybari_ex,fully_diluted_basis,,,,
fully_diluted_basis,emageon_ex,fully_diluted_basis,,,,
fully_diluted_basis,ignentertainment_ex,fully_diluted_basis,,,,
fully_diluted_basis,actelis_body,fully_diluted_basis,,,,
fully_diluted_basis,ignentertainment_body,fully_diluted_basis,,,,
fully_diluted_basis,hyrecar_body,fully_diluted_basis,,,,
fully_diluted_basis,castlebio_body,fully_diluted_basis,,,,
information_rights,0001193125-11-204682_dex402,information_rights,,,,
information_rights,0000950123-09-064388_f53797orexv4w2,information_rights,,,,
information_rights,0000950123-14-010038_filename6,information_rights,,,,
information_rights,0000950123-20-004953_filename4,information_rights,,,,
information_rights,0001628280-21-019876_exhibit102-sx1,information_rights,,,,
information_rights,0000950134-08-014307_f42787exv10w2,information_rights,,,,
information_rights,0001193125-06-212415_dex991,information_rights,,,,
information_rights,0001193125-07-042724_dex101,information_rights,,,,
information_rights,0000945841-07-000055_restrstockagreement,information_rights,,,,
information_rights,0001193125-15-060049_d836724dex1031,information_rights,,,,
information_rights,0000898173-20-000007_orly-20191231ex101926dba,information_rights,,,,
information_rights,0000950134-06-004765_c01111s1exv4w4,information_rights,,,,
investor_ownership_pct,uber_sb_cayman_investor,investor_ownership_pct,,,,
investor_ownership_pct,uber_benchmark_investor,investor_ownership_pct,,,,
investor_ownership_pct,uber_pif_investor,investor_ownership_pct,,,,
investor_ownership_pct,uber_alphabet_investor,investor_ownership_pct,,,,
liquidation_preference_multiple,1236997_000106299308001834,liquidation_preference_multiple,,,,
liquidation_preference_multiple,1283259_000149315225016953,liquidation_preference_multiple,,,,
liquidation_preference_multiple,1479290_000119312514020967,liquidation_preference_multiple,,,,
liquidation_preference_multiple,1538716_000119312519245313,liquidation_preference_multiple,,,,
liquidation_preference_multiple,1883085_000188308524000060,liquidation_preference_multiple,,,,
liquidation_preference_multiple,1904616_000121390023031361,liquidation_preference_multiple,,,,
liquidation_preference_multiple,1062195_000110465903012203,liquidation_preference_multiple,,,,
liquidation_preference_multiple,1274991_000119312510075918,liquidation_preference_multiple,,,,
liquidation_preference_multiple,1447362_000114036119009024,liquidation_preference_multiple,,,,
option_strike_409a,0001125282-06-006236_0p03,option_strike_409a,,,,
option_strike_409a,0001125282-06-006236_0p25,option_strike_409a,,,,
option_strike_409a,0001193125-11-194811_0p61,option_strike_409a,,,,
option_strike_409a,0001125282-06-006236_1p25,option_strike_409a,,,,
option_strike_409a,0001125282-06-007804_2p0,option_strike_409a,,,,
option_strike_409a,0001193125-11-194811_7p5,option_strike_409a,,,,
option_strike_409a,0001125282-06-006236_11p0,option_strike_409a,,,,
