doc,verdict,reason,n_multiples,n_oips,multiple,oip,computed_answer,multiple_quote,oip_quote,window_chars
1780201_000119312521296901.txt,CANDIDATE,,1,1,2.00,1.000000,2.000000,two times the original issue price,original issue price of $1.00,1024
0000004127-23-000019_swks-20230510.txt,EXCLUDE,no multiple and no dollar original issue price found,0,0,—,—,—,,,0
0000020740-17-000006_a201610kex1012.txt,EXCLUDE,no multiple and no dollar original issue price found,0,0,—,—,—,,,0
0000024240-19-000012_exh992.txt,EXCLUDE,no multiple and no dollar original issue price found,0,0,—,—,—,,,0
0000059255-21-000065_exh992.txt,EXCLUDE,no multiple and no dollar original issue price found,0,0,—,—,—,,,0
0000072162-26-000034_nl-20260519xex4d1.txt,EXCLUDE,no multiple and no dollar original issue price found,0,0,—,—,—,,,0
0000078890-04-000038_form8kdated112204.txt,EXCLUDE,no multiple and no dollar original issue price found,0,0,—,—,—,,,0
0000320335-24-000067_a102formofemployee7-yearst.txt,EXCLUDE,no multiple and no dollar original issue price found,0,0,—,—,—,,,0
0000320335-26-000090_a10412026employee7-yrsoa.txt,EXCLUDE,no multiple and no dollar original issue price found,0,0,—,—,—,,,0
0000715957-06-000005_ex101.txt,EXCLUDE,no multiple and no dollar original issue price found,0,0,—,—,—,,,0
0000721748-17-000529_s1safe.txt,EXCLUDE,no multiple and no dollar original issue price found,0,0,—,—,—,,,0
0000721748-17-000577_s1safe.txt,EXCLUDE,no multiple and no dollar original issue price found,0,0,—,—,—,,,0
000072174814000435_pncr050514s1ex104.txt,EXCLUDE,no multiple and no dollar original issue price found,0,0,—,—,—,,,0
000072174814000660_pncr050514s1ex104.txt,EXCLUDE,no multiple and no dollar original issue price found,0,0,—,—,—,,,0
000072174814000709_pncr050514s1ex104.txt,EXCLUDE,no multiple and no dollar original issue price found,0,0,—,—,—,,,0
0000740971-16-000117_ex-3.txt,EXCLUDE,no multiple and no dollar original issue price found,0,0,—,—,—,,,0
0000742112-05-000039_dec228k.txt,EXCLUDE,no multiple and no dollar original issue price found,0,0,—,—,—,,,0
0000746515-15-000026_a2015annualmeetingresults8.txt,EXCLUDE,no multiple and no dollar original issue price found,0,0,—,—,—,,,0
