model,cells_present,cells_dropped,leaves_zero_wobble,aggregate_wobble,total_measured_items,total_flipped_items,wilson_lo,wilson_hi,accuracy
gemma3-1b,60,0,8,0.422078,462,195,0.377866,0.467575,0.586580
deepseek-v4f,60,0,42,0.058315,463,27,0.040384,0.083516,0.961123
deepseek-v4p,60,0,45,0.045455,462,21,0.029920,0.068486,0.963203
gemma4-31b-or,60,0,53,0.030303,462,14,0.018135,0.050217,0.954545
mistral-large-or,60,0,48,0.032397,463,15,0.019730,0.052760,0.939525
minimax-m2.5-or,60,0,43,0.073434,463,34,0.053023,0.100865,0.956803
llama3.3-70b-or,60,0,51,0.032468,462,15,0.019773,0.052873,0.943723
gemma3-1b-qat,60,0,10,0.339093,463,157,0.297453,0.383380,0.619870
gemini3-flash-or,60,0,49,0.025974,462,12,0.014920,0.044846,0.956710
haiku-4.5-direct,60,0,51,0.028200,461,13,0.016553,0.047644,0.943601
gpt-oss-120b-or,60,0,40,0.060606,462,28,0.042261,0.086198,0.958874
gpt5-mini-or,60,0,46,0.056156,463,26,0.038607,0.081008,0.952484
