model,cells_present,cells_dropped,leaves_zero_wobble,aggregate_wobble,total_measured_items,total_flipped_items,wilson_lo,wilson_hi,accuracy
gemma3-1b,60,8,15,0.380282,426,162,0.335446,0.427257,0.631455
deepseek-v4f,60,8,44,0.053864,427,23,0.036158,0.079526,0.967213
deepseek-v4p,60,8,46,0.046948,426,20,0.030595,0.071400,0.969484
gemma4-31b-or,60,8,56,0.014085,426,6,0.006471,0.030384,0.964789
mistral-large-or,60,8,50,0.028103,427,12,0.016148,0.048473,0.943794
minimax-m2.5-or,60,8,46,0.067916,427,29,0.047700,0.095836,0.962529
llama3.3-70b-or,60,8,54,0.018779,426,8,0.009546,0.036614,0.953052
gemma3-1b-qat,60,8,17,0.309133,427,132,0.267165,0.354506,0.662763
gemini3-flash-or,60,8,51,0.021127,426,9,0.011154,0.039659,0.964789
haiku-4.5-direct,60,8,55,0.014118,425,6,0.006486,0.030454,0.962353
gpt-oss-120b-or,60,8,45,0.046948,426,20,0.030595,0.071400,0.964789
gpt5-mini-or,60,8,48,0.046838,427,20,0.030522,0.071235,0.964871
