model,category,n_leaves,flipped_items,measured_items,rate,wilson_lo,wilson_hi,estimable
gemma3-1b,cap_table,1,8,8,1.000000,0.675592,1.000000,0
gemma3-1b,convertibles,12,28,94,0.297872,0.214844,0.396772,1
gemma3-1b,exit_waterfall,1,2,2,1.000000,0.342380,1.000000,0
gemma3-1b,founder_equity,5,16,46,0.347826,0.226810,0.492299,1
gemma3-1b,priced_equity,16,63,135,0.466667,0.384600,0.550577,1
gemma3-1b,regulatory,5,16,26,0.615385,0.425349,0.775714,1
gemma3-1b,rights_governance,7,20,78,0.256410,0.172554,0.363133,1
gemma3-1b,risk_flag,5,9,37,0.243243,0.133614,0.401173,1
deepseek-v4f,cap_table,1,0,8,0.000000,0.000000,0.324408,0
deepseek-v4f,convertibles,12,4,95,0.042105,0.016494,0.103309,1
deepseek-v4f,exit_waterfall,1,0,2,0.000000,0.000000,0.657620,0
deepseek-v4f,founder_equity,5,1,46,0.021739,0.003848,0.113353,1
deepseek-v4f,priced_equity,16,7,135,0.051852,0.025341,0.103161,1
deepseek-v4f,regulatory,5,3,26,0.115385,0.040032,0.289759,1
deepseek-v4f,rights_governance,7,5,78,0.064103,0.027689,0.141436,1
deepseek-v4f,risk_flag,5,3,37,0.081081,0.027961,0.213007,1
deepseek-v4p,cap_table,1,0,8,0.000000,0.000000,0.324408,0
deepseek-v4p,convertibles,12,7,94,0.074468,0.036539,0.145812,1
deepseek-v4p,exit_waterfall,1,0,2,0.000000,0.000000,0.657620,0
deepseek-v4p,founder_equity,5,2,46,0.043478,0.012005,0.145323,1
deepseek-v4p,priced_equity,16,4,135,0.029630,0.011581,0.073706,1
deepseek-v4p,regulatory,5,2,26,0.076923,0.021355,0.241416,1
deepseek-v4p,rights_governance,7,4,78,0.051282,0.020121,0.124567,1
deepseek-v4p,risk_flag,5,1,37,0.027027,0.004787,0.138241,1
gemma4-31b-or,cap_table,1,0,8,0.000000,0.000000,0.324408,0
gemma4-31b-or,convertibles,12,0,94,0.000000,0.000000,0.039262,1
gemma4-31b-or,exit_waterfall,1,0,2,0.000000,0.000000,0.657620,0
gemma4-31b-or,founder_equity,5,0,46,0.000000,0.000000,0.077074,1
gemma4-31b-or,priced_equity,16,1,135,0.007407,0.001309,0.040764,1
gemma4-31b-or,regulatory,5,1,26,0.038462,0.006822,0.188928,1
gemma4-31b-or,rights_governance,7,4,78,0.051282,0.020121,0.124567,1
gemma4-31b-or,risk_flag,5,0,37,0.000000,0.000000,0.094058,1
mistral-large-or,cap_table,1,0,8,0.000000,0.000000,0.324408,0
mistral-large-or,convertibles,12,0,95,0.000000,0.000000,0.038865,1
mistral-large-or,exit_waterfall,1,0,2,0.000000,0.000000,0.657620,0
mistral-large-or,founder_equity,5,3,46,0.065217,0.022428,0.175027,1
mistral-large-or,priced_equity,16,3,135,0.022222,0.007586,0.063297,1
mistral-large-or,regulatory,5,2,26,0.076923,0.021355,0.241416,1
mistral-large-or,rights_governance,7,3,78,0.038462,0.013166,0.107084,1
mistral-large-or,risk_flag,5,1,37,0.027027,0.004787,0.138241,1
minimax-m2.5-or,cap_table,1,0,8,0.000000,0.000000,0.324408,0
minimax-m2.5-or,convertibles,12,4,95,0.042105,0.016494,0.103309,1
minimax-m2.5-or,exit_waterfall,1,1,2,0.500000,0.094531,0.905469,0
minimax-m2.5-or,founder_equity,5,3,46,0.065217,0.022428,0.175027,1
minimax-m2.5-or,priced_equity,16,5,135,0.037037,0.015922,0.083771,1
minimax-m2.5-or,regulatory,5,8,26,0.307692,0.165013,0.499883,1
minimax-m2.5-or,rights_governance,7,8,78,0.102564,0.052893,0.189544,1
minimax-m2.5-or,risk_flag,5,0,37,0.000000,0.000000,0.094058,1
llama3.3-70b-or,cap_table,1,0,8,0.000000,0.000000,0.324408,0
llama3.3-70b-or,convertibles,12,0,94,0.000000,0.000000,0.039262,1
llama3.3-70b-or,exit_waterfall,1,0,2,0.000000,0.000000,0.657620,0
llama3.3-70b-or,founder_equity,5,1,46,0.021739,0.003848,0.113353,1
llama3.3-70b-or,priced_equity,16,2,135,0.014815,0.004072,0.052406,1
llama3.3-70b-or,regulatory,5,2,26,0.076923,0.021355,0.241416,1
llama3.3-70b-or,rights_governance,7,3,78,0.038462,0.013166,0.107084,1
llama3.3-70b-or,risk_flag,5,0,37,0.000000,0.000000,0.094058,1
gemma3-1b-qat,cap_table,1,3,8,0.375000,0.136844,0.694258,0
gemma3-1b-qat,convertibles,12,29,95,0.305263,0.221729,0.403934,1
gemma3-1b-qat,exit_waterfall,1,2,2,1.000000,0.342380,1.000000,0
gemma3-1b-qat,founder_equity,5,12,46,0.260870,0.156009,0.402592,1
gemma3-1b-qat,priced_equity,16,40,135,0.296296,0.225770,0.378094,1
gemma3-1b-qat,regulatory,5,12,26,0.461538,0.287559,0.645421,1
gemma3-1b-qat,rights_governance,7,20,78,0.256410,0.172554,0.363133,1
gemma3-1b-qat,risk_flag,5,14,37,0.378378,0.240640,0.538996,1
gemini3-flash-or,cap_table,1,0,8,0.000000,0.000000,0.324408,0
gemini3-flash-or,convertibles,12,0,94,0.000000,0.000000,0.039262,1
gemini3-flash-or,exit_waterfall,1,0,2,0.000000,0.000000,0.657620,0
gemini3-flash-or,founder_equity,5,0,46,0.000000,0.000000,0.077074,1
gemini3-flash-or,priced_equity,16,6,135,0.044444,0.020526,0.093571,1
gemini3-flash-or,regulatory,5,0,26,0.000000,0.000000,0.128729,1
gemini3-flash-or,rights_governance,7,1,78,0.012821,0.002267,0.069109,1
gemini3-flash-or,risk_flag,5,2,37,0.054054,0.014951,0.177047,1
haiku-4.5-direct,cap_table,1,0,8,0.000000,0.000000,0.324408,0
haiku-4.5-direct,convertibles,12,0,93,0.000000,0.000000,0.039668,1
haiku-4.5-direct,exit_waterfall,1,0,2,0.000000,0.000000,0.657620,0
haiku-4.5-direct,founder_equity,5,0,46,0.000000,0.000000,0.077074,1
haiku-4.5-direct,priced_equity,16,2,135,0.014815,0.004072,0.052406,1
haiku-4.5-direct,regulatory,5,1,26,0.038462,0.006822,0.188928,1
haiku-4.5-direct,rights_governance,7,2,78,0.025641,0.007060,0.088753,1
haiku-4.5-direct,risk_flag,5,1,37,0.027027,0.004787,0.138241,1
gpt-oss-120b-or,cap_table,1,0,8,0.000000,0.000000,0.324408,0
gpt-oss-120b-or,convertibles,12,2,94,0.021277,0.005854,0.074290,1
gpt-oss-120b-or,exit_waterfall,1,0,2,0.000000,0.000000,0.657620,0
gpt-oss-120b-or,founder_equity,5,2,46,0.043478,0.012005,0.145323,1
gpt-oss-120b-or,priced_equity,16,5,135,0.037037,0.015922,0.083771,1
gpt-oss-120b-or,regulatory,5,3,26,0.115385,0.040032,0.289759,1
gpt-oss-120b-or,rights_governance,7,7,78,0.089744,0.044153,0.173847,1
gpt-oss-120b-or,risk_flag,5,1,37,0.027027,0.004787,0.138241,1
gpt5-mini-or,cap_table,1,0,8,0.000000,0.000000,0.324408,0
gpt5-mini-or,convertibles,12,0,95,0.000000,0.000000,0.038865,1
gpt5-mini-or,exit_waterfall,1,0,2,0.000000,0.000000,0.657620,0
gpt5-mini-or,founder_equity,5,2,46,0.043478,0.012005,0.145323,1
gpt5-mini-or,priced_equity,16,5,135,0.037037,0.015922,0.083771,1
gpt5-mini-or,regulatory,5,4,26,0.153846,0.061500,0.335312,1
gpt5-mini-or,rights_governance,7,9,78,0.115385,0.061905,0.204970,1
gpt5-mini-or,risk_flag,5,0,37,0.000000,0.000000,0.094058,1
