model,n_leaves,n_nonzero_leaves,top10_nonzero,top10_share_of_rate_mass,top10_share_of_flipped_items,top10_leaves
gemma3-1b,60,52,10,0.3773,0.2915,current_ownership_pct;employee_pool_pct;founder_ownership_pct;fully_diluted_basis;investor_ownership_pct;liquidation_waterfall_payout;option_pool_shuffle;pre_vs_post_money;preference_stack_payout;s1_risk_factors
deepseek-v4f,60,18,10,0.7821,0.6667,option_pool_shuffle;liquidation_preference_multiple;securities_exemption;flag_missing_pro_rata;liquidation_waterfall_payout;conversion_ratio;financial_statement_qa;safe_pre_post;rofr_cosale;board_seats_investor
deepseek-v4p,60,15,10,0.8504,0.7619,form_d_fields;safe_cap_vs_discount_applies;liquidation_waterfall_payout;board_seats_investor;conversion_ratio;flag_internal_inconsistency;s1_use_of_proceeds;safe_pre_post;liquidation_preference_multiple;vesting_schedule
gemma4-31b-or,60,7,7,1.0000,1.0000,liquidation_waterfall_payout;option_pool_shuffle;board_seats_investor;current_ownership_pct;s1_use_of_proceeds;price_per_share;information_rights;acceleration_trigger;antidilution_base;antidilution_type
mistral-large-or,60,12,10,0.9448,0.8667,liquidation_waterfall_payout;exercise_window;option_pool_shuffle;board_seats_investor;financial_statement_qa;flag_internal_inconsistency;s1_use_of_proceeds;liquidation_preference_multiple;vesting_schedule;redemption_rights
minimax-m2.5-or,60,18,10,0.8495,0.6857,employee_pool_pct;option_pool_shuffle;liquidation_waterfall_payout;preference_stack_payout;board_seats_investor;safe_discount_rate;financial_statement_qa;per_investor_allocation;s1_use_of_proceeds;securities_exemption
llama3.3-70b-or,60,9,9,1.0000,1.0000,liquidation_waterfall_payout;option_pool_shuffle;form_d_fields;board_seats_investor;multi_round_stacked_dilution;s1_use_of_proceeds;liquidation_preference_multiple;participation_type;cliff_present;acceleration_trigger
gemma3-1b-qat,60,50,10,0.4077,0.2767,current_ownership_pct;employee_pool_pct;flag_internal_inconsistency;founder_ownership_pct;liquidation_waterfall_payout;option_pool_shuffle;preference_stack_payout;s1_risk_factors;note_interest_rate;liquidation_preference_multiple
gemini3-flash-or,60,11,10,0.9752,0.9167,option_pool_shuffle;liquidation_waterfall_payout;post_money_valuation;flag_internal_inconsistency;per_investor_allocation;price_per_share;board_seats_investor;liquidation_preference_multiple;flag_offmarket_liqpref;participation_type
haiku-4.5-direct,60,9,9,1.0000,1.0000,liquidation_waterfall_payout;founder_ownership_pct;option_pool_shuffle;s1_use_of_proceeds;drag_along;current_ownership_pct;liquidation_preference_multiple;redemption_rights;flag_uncapped_participation;acceleration_trigger
gpt-oss-120b-or,60,20,10,0.8053,0.6552,employee_pool_pct;option_pool_shuffle;liquidation_waterfall_payout;financial_statement_qa;investor_ownership_pct;participation_type;safe_discount_rate;multi_round_stacked_dilution;pro_rata_rights;protective_provisions
gpt5-mini-or,60,14,10,0.9113,0.8077,liquidation_waterfall_payout;option_pool_shuffle;board_seats_investor;s1_use_of_proceeds;conversion_ratio;financial_statement_qa;cliff_present;drag_along;protective_provisions;price_per_share
