model,flagged_flipped,flagged_items,flagged_wobble,flagged_lo,flagged_hi,clean_flipped,clean_items,clean_wobble,clean_lo,clean_hi,difference,difference_lo,difference_hi,excludes_zero
gemma3-1b,33,36,0.916667,0.781733,0.971251,162,426,0.380282,0.335446,0.427257,0.536385,0.393508,0.607023,1
deepseek-v4f,4,36,0.111111,0.044066,0.253148,23,427,0.053864,0.036158,0.079526,0.057247,-0.014541,0.200383,0
deepseek-v4p,1,36,0.027778,0.004920,0.141697,20,426,0.046948,0.030595,0.071400,-0.019171,-0.052642,0.095917,0
gemma4-31b-or,8,36,0.222222,0.117163,0.380847,6,426,0.014085,0.006471,0.030384,0.208138,0.101822,0.366945,1
mistral-large-or,3,36,0.083333,0.028749,0.218267,12,427,0.028103,0.016148,0.048473,0.055230,-0.003032,0.190692,0
minimax-m2.5-or,5,36,0.138889,0.060818,0.286595,29,427,0.067916,0.047700,0.095836,0.070973,-0.011940,0.220057,0
llama3.3-70b-or,7,36,0.194444,0.097531,0.350280,8,426,0.018779,0.009546,0.036614,0.175665,0.077124,0.331774,1
gemma3-1b-qat,25,36,0.694444,0.531437,0.819955,132,427,0.309133,0.267165,0.354506,0.385311,0.216107,0.517653,1
gemini3-flash-or,3,36,0.083333,0.028749,0.218267,9,426,0.021127,0.011154,0.039659,0.062207,0.004562,0.197508,1
haiku-4.5-direct,7,36,0.194444,0.097531,0.350280,6,425,0.014118,0.006486,0.030454,0.180327,0.082046,0.336350,1
gpt-oss-120b-or,8,36,0.222222,0.117163,0.380847,20,426,0.046948,0.030595,0.071400,0.175274,0.067407,0.334739,1
gpt5-mini-or,6,36,0.166667,0.078704,0.318908,20,427,0.046838,0.030522,0.071235,0.119828,0.028545,0.272941,1
POOLED,110,432,0.254630,0.215835,0.297750,447,5116,0.087373,0.079941,0.095424,0.167257,0.127636,0.211012,1
