model_a,model_b,n_leaves,rho_observed,rho_corrected,note
gemma3-1b,deepseek-v4f,57,0.010353,0.012099,
gemma3-1b,deepseek-v4p,57,-0.165213,-0.198495,
gemma3-1b,gemma4-31b-or,57,0.251225,0.273960,
gemma3-1b,mistral-large-or,57,0.209246,0.237270,
gemma3-1b,minimax-m2.5-or,57,0.189679,0.217786,
gemma3-1b,llama3.3-70b-or,57,0.228481,0.253756,
gemma3-1b,gemma3-1b-qat,57,0.406009,0.468642,
gemma3-1b,gemini3-flash-or,57,0.068408,0.081809,
gemma3-1b,haiku-4.5-direct,57,0.249189,0.282607,
gemma3-1b,gpt-oss-120b-or,57,0.200287,0.247860,
gemma3-1b,gpt5-mini-or,57,0.098531,0.111132,
deepseek-v4f,deepseek-v4p,57,0.358385,0.423275,
deepseek-v4f,gemma4-31b-or,57,0.163387,0.175149,
deepseek-v4f,mistral-large-or,57,0.489722,0.545888,
deepseek-v4f,minimax-m2.5-or,57,0.335718,0.378925,
deepseek-v4f,llama3.3-70b-or,57,0.294882,0.321946,
deepseek-v4f,gemma3-1b-qat,57,0.096884,0.109932,
deepseek-v4f,gemini3-flash-or,57,0.282807,0.332469,
deepseek-v4f,haiku-4.5-direct,57,0.330469,0.368428,
deepseek-v4f,gpt-oss-120b-or,57,0.304434,0.370351,
deepseek-v4f,gpt5-mini-or,57,0.386807,0.428871,
deepseek-v4p,gemma4-31b-or,57,0.199123,0.219455,
deepseek-v4p,mistral-large-or,57,0.401536,0.460162,
deepseek-v4p,minimax-m2.5-or,57,0.227415,0.263894,
deepseek-v4p,llama3.3-70b-or,57,0.440207,0.494110,
deepseek-v4p,gemma3-1b-qat,57,0.032841,0.038311,
deepseek-v4p,gemini3-flash-or,57,0.212349,0.256651,
deepseek-v4p,haiku-4.5-direct,57,0.278735,0.319482,
deepseek-v4p,gpt-oss-120b-or,57,0.063193,0.079036,
deepseek-v4p,gpt5-mini-or,57,0.406656,0.463544,
gemma4-31b-or,mistral-large-or,57,0.408685,0.425102,
gemma4-31b-or,minimax-m2.5-or,57,0.297821,0.313678,
gemma4-31b-or,llama3.3-70b-or,57,0.488436,0.497613,
gemma4-31b-or,gemma3-1b-qat,57,0.242727,0.257005,
gemma4-31b-or,gemini3-flash-or,57,0.410027,0.449804,
gemma4-31b-or,haiku-4.5-direct,57,0.475047,0.494207,
gemma4-31b-or,gpt-oss-120b-or,57,0.313756,0.356174,
gemma4-31b-or,gpt5-mini-or,57,0.582707,0.602882,
mistral-large-or,minimax-m2.5-or,57,0.468467,0.513063,
mistral-large-or,llama3.3-70b-or,57,0.514089,0.544610,
mistral-large-or,gemma3-1b-qat,57,0.259980,0.286237,
mistral-large-or,gemini3-flash-or,57,0.431146,0.491811,
mistral-large-or,haiku-4.5-direct,57,0.396439,0.428856,
mistral-large-or,gpt-oss-120b-or,57,0.318255,0.375673,
mistral-large-or,gpt5-mini-or,57,0.388361,0.417812,
minimax-m2.5-or,llama3.3-70b-or,57,0.373914,0.401092,
minimax-m2.5-or,gemma3-1b-qat,57,0.237033,0.264253,
minimax-m2.5-or,gemini3-flash-or,57,0.211372,0.244145,
minimax-m2.5-or,haiku-4.5-direct,57,0.244062,0.267337,
minimax-m2.5-or,gpt-oss-120b-or,57,0.639589,0.764470,
minimax-m2.5-or,gpt5-mini-or,57,0.526965,0.574053,
llama3.3-70b-or,gemma3-1b-qat,57,0.188694,0.203482,
llama3.3-70b-or,gemini3-flash-or,57,0.418122,0.467151,
llama3.3-70b-or,haiku-4.5-direct,57,0.387208,0.410261,
llama3.3-70b-or,gpt-oss-120b-or,57,0.336017,0.388486,
llama3.3-70b-or,gpt5-mini-or,57,0.478648,0.504361,
gemma3-1b-qat,gemini3-flash-or,57,0.372971,0.433080,
gemma3-1b-qat,haiku-4.5-direct,57,0.275504,0.303377,
gemma3-1b-qat,gpt-oss-120b-or,57,0.107434,0.129091,
gemma3-1b-qat,gpt5-mini-or,57,0.131273,0.143761,
gemini3-flash-or,haiku-4.5-direct,57,0.207096,0.236273,
gemini3-flash-or,gpt-oss-120b-or,57,0.222243,0.276675,
gemini3-flash-or,gpt5-mini-or,57,0.351688,0.399033,
haiku-4.5-direct,gpt-oss-120b-or,57,0.104127,0.122932,
haiku-4.5-direct,gpt5-mini-or,57,0.289041,0.311009,
gpt-oss-120b-or,gpt5-mini-or,57,0.558968,0.656295,
