distribution,n_pairs,n_defined,n_undefined,median_rho,q1,q3,iqr,min,max,note
headline_active,0,0,0,,,,,,,PRIMARY
headline_full,0,0,0,,,,,,,secondary
all_active,66,66,0,0.296352,0.209778,0.404891,0.195113,-0.165213,0.639589,control
all_full,66,66,0,0.301355,0.227525,0.410062,0.182537,-0.110478,0.646809,control
all_common,66,66,0,0.301355,0.227525,0.410062,0.182537,-0.110478,0.646809,control 5c
tier:frontier,45,45,0,0.358385,0.282807,0.431146,0.148338,0.063193,0.639589,control 5b
tier:low,1,1,0,0.406009,0.406009,0.406009,0.000000,0.406009,0.406009,control 5b
tier:ACROSS,20,20,0,0.194983,0.098119,0.244343,0.146223,-0.165213,0.372971,control 5b
serving:direct,3,3,0,0.330469,0.304602,0.344427,0.039825,0.278735,0.358385,control 5d
serving:local,1,1,0,0.406009,0.406009,0.406009,0.000000,0.406009,0.406009,control 5d
serving:routed,21,21,0,0.410027,0.336017,0.488436,0.152419,0.211372,0.639589,control 5d
serving:DIFFERENT,41,41,0,0.237033,0.163387,0.304434,0.141047,-0.165213,0.489722,control 5d
answer_type:binary,66,66,0,0.027977,-0.143901,0.290029,0.433929,-0.533744,0.675601,control 5f
answer_type:categorical,66,55,11,0.428746,0.122474,0.681059,0.558584,-0.480000,1.000000,control 5f
answer_type:multi_part,66,55,11,0.000000,-0.500000,0.866025,1.366025,-1.000000,1.000000,control 5f
answer_type:numeric,66,66,0,0.444327,0.269758,0.545653,0.275895,-0.153997,0.926100,control 5f
