field,value,items,flagged,share_of_flagged,share_of_corpus,flag_rate
answer_type,binary,233,2,0.05555555555555555,0.5032397408207343,0.008583690987124463
answer_type,categorical,63,4,0.1111111111111111,0.13606911447084233,0.06349206349206349
answer_type,multi_part,19,0,0.0,0.04103671706263499,0.0
answer_type,numeric,148,30,0.8333333333333334,0.31965442764578833,0.20270270270270271
category,cap_table,33,25,0.6944444444444444,0.07127429805615551,0.7575757575757576
category,convertibles,95,0,0.0,0.20518358531317496,0.0
category,exit_waterfall,8,6,0.16666666666666666,0.017278617710583154,0.75
category,founder_equity,46,0,0.0,0.09935205183585313,0.0
category,priced_equity,139,4,0.1111111111111111,0.3002159827213823,0.02877697841726619
category,regulatory,27,1,0.027777777777777776,0.058315334773218146,0.037037037037037035
category,rights_governance,78,0,0.0,0.16846652267818574,0.0
category,risk_flag,37,0,0.0,0.07991360691144708,0.0
