leaf,item,category,answer_type,field_type,flagged,bucket,bucket_nowords,pairs,flips,maj_n,maj_ok,disp,failure
post_money_valuation,1491419_000121390022046600,priced_equity,numeric,number,0,stated,stated,12,0,12,12,0.0,
post_money_valuation,1529113_000121390024057583,priced_equity,numeric,number,0,stated,stated,12,0,12,10,0.0,
post_money_valuation,1368365_000136836520000062,priced_equity,numeric,number,0,stated,stated,12,2,12,11,0.19999999999999996,
post_money_valuation,1089872_000095017025106543,priced_equity,numeric,number,0,stated,stated,12,0,12,11,0.0,
pre_vs_post_money,0001193125-14-335661_d770501dex1024,priced_equity,binary,enum,0,undecidable,undecidable,12,2,12,11,0.20526315789473681,
pre_vs_post_money,0000950123-10-024887_d70440a2exv3w3,priced_equity,binary,enum,0,undecidable,undecidable,12,2,12,11,0.55,
pre_vs_post_money,0001047469-04-038327_filename35,priced_equity,binary,enum,0,undecidable,undecidable,12,1,12,10,0.33333333333333337,
pre_vs_post_money,0001140361-23-024212_ny20009051x2_8k,priced_equity,binary,enum,0,undecidable,undecidable,12,3,12,10,0.3052631578947369,
pre_vs_post_money,0000912057-19-000378_filename29,priced_equity,binary,enum,0,undecidable,undecidable,12,1,12,10,0.35,
pre_vs_post_money,0000950123-14-012213_filename17,priced_equity,binary,enum,0,undecidable,undecidable,12,2,12,12,0.9736842105263158,
pre_vs_post_money,0001144204-10-046527_v195191_ex10-1,priced_equity,binary,enum,0,undecidable,undecidable,12,1,12,12,0.10526315789473684,
pre_vs_post_money,0001193125-11-026716_filename6,priced_equity,binary,enum,0,undecidable,undecidable,12,1,12,12,0.25,
pre_vs_post_money,0001437749-18-019139_ex_127203,priced_equity,binary,enum,0,undecidable,undecidable,12,1,12,12,0.05882352941176472,
pre_vs_post_money,0001144204-11-010165_v212119_ex10-1,priced_equity,binary,enum,0,undecidable,undecidable,12,1,12,12,0.15000000000000002,
pre_vs_post_money,0001013762-09-002046_ex412,priced_equity,binary,enum,0,undecidable,undecidable,12,1,12,10,0.1578947368421053,
pre_vs_post_money,0001607062-21-000118_filename14,priced_equity,binary,enum,0,undecidable,undecidable,12,2,12,11,0.75,
pre_vs_post_money,0001013762-09-001055_ex101,priced_equity,binary,enum,0,undecidable,undecidable,12,1,12,10,0.11764705882352944,
pre_vs_post_money,0001493152-24-049571_form8-k,priced_equity,binary,enum,0,undecidable,undecidable,12,1,12,12,0.11764705882352944,
pre_vs_post_money,0001213900-25-014354_ea023010901ex99-1_fold,priced_equity,binary,enum,0,undecidable,undecidable,12,1,12,12,0.050000000000000044,
pre_vs_post_money,0001511164-13-000507_ngeform8k11413,priced_equity,binary,enum,0,undecidable,undecidable,12,6,12,3,1.65,
pre_vs_post_money,0001628280-24-041596_exhibit109-sx1,priced_equity,binary,enum,0,undecidable,undecidable,12,1,12,12,0.05555555555555558,
pre_vs_post_money,0001019687-14-000407_oculus_8k-ex1002,priced_equity,binary,enum,0,undecidable,undecidable,12,1,12,12,0.052631578947368474,
pre_vs_post_money,0001019687-13-002945_oculus_8k-ex1001,priced_equity,binary,enum,0,undecidable,undecidable,12,1,12,12,0.050000000000000044,
price_per_share,astea_series_a,priced_equity,numeric,number,0,stated,stated,12,2,12,12,0.40263157894736845,
price_per_share,wolverine_series_a,priced_equity,numeric,number,0,stated,stated,12,0,12,12,0.0,
price_per_share,kiwa_series_b,priced_equity,numeric,number,0,stated,stated,12,2,12,11,0.29999999999999993,
price_per_share,psm_series_e,priced_equity,numeric,number,0,stated,stated,12,0,12,11,0.0,
price_per_share,gelesis_certificate,priced_equity,numeric,number,0,stated,stated,12,4,12,5,1.4,
price_per_share,landing_page_series,priced_equity,numeric,number,0,stated,stated,12,1,12,11,0.15000000000000002,
price_per_share,washington_group,priced_equity,numeric,number,0,stated,stated,12,1,12,2,0.15000000000000002,
round_size,1260990,priced_equity,numeric,number,0,stated,stated,12,0,12,12,0.0,
round_size,1498738,priced_equity,numeric,number,0,stated,stated,12,1,12,10,0.19999999999999996,
round_size,1597815,priced_equity,numeric,number,0,stated,stated,12,0,12,12,0.0,
round_size,1981408,priced_equity,numeric,number,1,stated,stated,12,1,12,10,0.30000000000000004,quote-absent-from-source
round_size,1436444,priced_equity,numeric,number,0,stated,stated,12,0,12,12,0.0,
round_size,1887997,priced_equity,numeric,number,0,stated,stated,12,1,12,10,0.42105263157894735,
round_size,1601118,priced_equity,numeric,number,0,stated,stated,12,1,12,10,0.25,
round_size,1520726,priced_equity,numeric,number,0,stated,stated,12,0,12,10,0.0,
round_size,1651590,priced_equity,numeric,number,0,stated,stated,12,1,12,10,0.09999999999999998,
round_size,1880063,priced_equity,numeric,number,0,stated,stated,12,0,12,10,0.0,
per_investor_allocation,roka,priced_equity,numeric,number,0,stated,stated,12,0,12,12,0.0,
per_investor_allocation,casmedical,priced_equity,numeric,number,0,stated,stated,12,4,12,10,1.2713675213675213,
per_investor_allocation,ocular,priced_equity,numeric,number,0,stated,stated,12,2,12,11,0.12406015037593987,
per_investor_allocation,navidea,priced_equity,numeric,number,0,stated,stated,12,1,12,11,0.052631578947368474,
per_investor_allocation,quantrx,priced_equity,numeric,number,0,stated,stated,12,0,12,12,0.0,
liquidation_preference_multiple,1236997_000106299308001834,priced_equity,categorical,enum,0,undecidable,undecidable,12,2,12,10,0.5026315789473684,
liquidation_preference_multiple,1283259_000149315225016953,priced_equity,categorical,enum,0,undecidable,undecidable,12,1,12,11,0.25,
liquidation_preference_multiple,1538716_000119312519245313,priced_equity,categorical,enum,0,undecidable,undecidable,12,7,12,0,2.071428571428571,
liquidation_preference_multiple,1883085_000188308524000060,priced_equity,categorical,enum,0,undecidable,undecidable,12,3,12,1,0.8352941176470589,
liquidation_preference_multiple,1904616_000121390023031361,priced_equity,categorical,enum,0,undecidable,undecidable,12,0,12,11,0.0,
liquidation_preference_multiple,1062195_000110465903012203,priced_equity,categorical,enum,0,undecidable,undecidable,12,1,12,11,0.0625,
