grouping,group,items,pairs,flips,wobble,w_lo,w_hi,acc_n,accuracy,a_lo,a_hi,wobble_diff,wobble_diff_lo,wobble_diff_hi,wobble_diff_excludes_zero,acc_diff,acc_diff_lo,acc_diff_hi,acc_diff_excludes_zero
audit flag,clean,427,5116,447,0.08737294761532448,0.0799414463265128,0.09542364379241118,5116,0.9093041438623924,0.9011247899256658,0.9168692893215977,-0.16725668201430516,-0.211012290700639,-0.12763557336543438,1,0.18708192164017023,0.14611984205134906,0.23178118215236565,1
audit flag,flagged,36,432,110,0.25462962962962965,0.2158350611743695,0.29774953315579683,432,0.7222222222222222,0.6781677960595972,0.7623593637923275,0.16725668201430516,0.12763557336543438,0.211012290700639,1,-0.18708192164017023,-0.23178118215236565,-0.14611984205134906,1
answer stated in window,not-stated,37,444,117,0.2635135135135135,0.22469072985557614,0.30639332709396283,444,0.7635135135135135,0.7218335317188825,0.8006728048230597,0.17730661696178934,0.13766520687315556,0.22081893826835733,1,-0.14263852410404132,-0.18502336579763595,-0.10456169099127699,1
answer stated in window,stated,100,1198,102,0.08514190317195326,0.07063353244408063,0.10230230472086321,1198,0.9140233722871453,0.8967961824897719,0.928603867341592,-0.01945579797747203,-0.03676818071485981,-0.00019416767813388094,1,0.024598084930823383,0.005171805767908263,0.042091126776786,1
answer stated in window,undecidable,326,3906,338,0.08653353814644137,0.07811775430707436,0.09576179195610103,3906,0.9037378392217101,0.8940874302422677,0.9125948951713374,-0.046840396080111604,-0.06608147608573328,-0.028722521728110934,1,0.030412626067020776,0.012390000648493243,0.04954953815464022,1
answer stated in window (no spelled numerals),not-stated,43,516,130,0.25193798449612403,0.21640723744884635,0.2911349263086224,516,0.7829457364341085,0.7453557671655893,0.8163539522985481,0.16708106875685536,0.13065646951163118,0.20696790803610726,1,-0.1232545815309154,-0.1616348486977223,-0.08881425891955275,1
answer stated in window (no spelled numerals),stated,94,1126,89,0.07904085257548846,0.06467509052396597,0.09626913523536895,1126,0.9147424511545293,0.8969876074164911,0.9296770477953034,-0.026793611467930814,-0.04396781157377898,-0.007480912261560026,1,0.025099755541684532,0.005239485165127327,0.04284050529284508,1
answer stated in window (no spelled numerals),undecidable,326,3906,338,0.08653353814644137,0.07811775430707436,0.09576179195610103,3906,0.9037378392217101,0.8940874302422677,0.9125948951713374,-0.046840396080111604,-0.06608147608573328,-0.028722521728110934,1,0.030412626067020776,0.012390000648493243,0.04954953815464022,1
crossed,not-stated / clean,8,96,16,0.16666666666666666,0.10527382371950136,0.2537099015189491,96,0.8541666666666666,0.7699818497355329,0.9110979421986138,0.06743702616776717,0.0054962875294747235,0.15481630654563314,1,-0.04128454389826364,-0.12583412268171865,0.016263399139027218,0
crossed,not-stated / flagged,29,348,101,0.29022988505747127,0.24504022575354742,0.34000014871123463,348,0.7385057471264368,0.6899099642120023,0.7818934456431084,0.2025375773651636,0.15664607764869182,0.2528529848428448,1,-0.16668656056587094,-0.21588326436940733,-0.12251883927031906,1
crossed,stated / clean,99,1186,101,0.0851602023608769,0.07058340058856367,0.1024156635260058,1186,0.9148397976391232,0.8975843364739943,0.9294165994114364,-0.01937899983994841,-0.0367402507624916,-3.889529154979879e-05,1,0.02556882102289204,0.006120274066663767,0.04305422978486179,1
crossed,stated / flagged,1,12,1,0.08333333333333333,0.014865094404917095,0.35387991114111694,12,0.8333333333333334,0.5519691377470266,0.9530348578161463,-0.017100192678227363,-0.08605735713670153,0.253554317878373,0,-0.06153660886319845,-0.3430091130711784,0.05845616713624191,0
crossed,undecidable / clean,320,3834,330,0.08607198748043818,0.07760320908338354,0.09536940219917885,3834,0.9089723526343245,0.8994532650159257,0.9176727245927336,-0.046366752309526804,-0.06524516255650432,-0.028524496995348026,1,0.046078536998385156,0.027910973296859244,0.06526205482660204,1
crossed,undecidable / flagged,6,72,8,0.1111111111111111,0.057388196349493464,0.20422938233664037,72,0.625,0.5095289902692696,0.7278082165816159,0.010855450044639225,-0.043495290105370274,0.10428962356031578,0,-0.2732834185536889,-0.38901280247359454,-0.17014172384861959,1
