leaf,n_models,mean_accuracy,observed_wobble,structural_lo,structural_hi,residual_vs_lo,residual_vs_hi
post_money_valuation,12,0.916667,0.041667,0.036601,0.119934,0.005066,-0.078268
pre_vs_post_money,12,0.903509,0.131579,0.115148,0.164854,0.016431,-0.033275
price_per_share,12,0.677083,0.114583,0.104140,0.400807,0.010444,-0.286224
round_size,12,0.883333,0.041667,0.039607,0.116667,0.002060,-0.075000
per_investor_allocation,12,0.933333,0.116667,0.086963,0.104870,0.029704,0.011796
liquidation_preference_multiple,12,0.601852,0.194444,0.094108,0.431470,0.100336,-0.237026
participation_type,12,0.657407,0.175926,0.110585,0.410379,0.065341,-0.234453
participation_cap,12,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
preference_seniority,12,0.757576,0.060606,0.045113,0.257015,0.015494,-0.196409
dividend_rate_pct,12,1.000000,0.055556,0.053185,0.053187,0.002371,0.002369
dividend_cumulative,12,0.973958,0.036458,0.031223,0.046881,0.005236,-0.010422
antidilution_type,12,0.916667,0.050000,0.027367,0.110700,0.022633,-0.060700
antidilution_base,12,0.950000,0.033333,0.005350,0.055350,0.027983,-0.022017
conversion_ratio,12,0.950000,0.100000,0.069162,0.086024,0.030838,0.013976
auto_conversion_trigger,12,0.983333,0.033333,0.027359,0.027359,0.005975,0.005975
redemption_rights,12,0.933333,0.083333,0.079102,0.115450,0.004232,-0.032117
safe_valuation_cap,12,0.979167,0.052083,0.043860,0.058011,0.008223,-0.005928
safe_discount_rate,12,0.888889,0.129630,0.101877,0.164499,0.027753,-0.034870
safe_cap_vs_discount_applies,12,0.942308,0.128205,0.106759,0.137110,0.021446,-0.008905
safe_pre_post,12,0.937500,0.041667,0.027964,0.082547,0.013703,-0.040881
safe_mfn_present,12,0.964286,0.023810,0.018103,0.053818,0.005706,-0.030008
safe_pro_rata_side_letter,12,0.994444,0.050000,0.036837,0.037470,0.013163,0.012530
note_principal,12,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
note_interest_rate,12,0.972222,0.069444,0.050544,0.078322,0.018900,-0.008878
note_maturity_date,12,0.937500,0.083333,0.063405,0.099153,0.019929,-0.015819
note_valuation_cap,12,0.979167,0.062500,0.040911,0.061745,0.021589,0.000755
note_discount,12,0.833333,0.048611,0.024996,0.166666,0.023615,-0.118055
note_qualified_financing_threshold,12,1.000000,0.083333,0.066826,0.066826,0.016507,0.016507
current_ownership_pct,12,0.824074,0.194444,0.017286,0.193212,0.177158,0.001232
founder_ownership_pct,12,0.805556,0.194444,0.000000,0.194444,0.194444,0.000000
investor_ownership_pct,12,0.833333,0.125000,0.013375,0.180042,0.111625,-0.055042
employee_pool_pct,12,0.833333,0.333333,0.133909,0.300575,0.199425,0.032758
option_pool_shuffle,12,0.444444,0.611111,0.183532,0.656076,0.427579,-0.044965
fully_diluted_basis,12,0.927083,0.114583,0.079455,0.121139,0.035129,-0.006556
multi_round_stacked_dilution,12,0.816667,0.150000,0.010692,0.194025,0.139308,-0.044025
liquidation_waterfall_payout,12,0.500000,0.666667,0.307497,0.667463,0.359169,-0.000796
preference_stack_payout,12,0.875000,0.208333,0.104878,0.203149,0.103455,0.005185
convert_vs_preference_decision,12,0.916667,0.000000,0.000000,0.083333,0.000000,-0.083333
board_seats_investor,12,0.731481,0.259259,0.195818,0.379269,0.063441,-0.120010
protective_provisions,12,0.916667,0.097222,0.081831,0.127784,0.015391,-0.030562
information_rights,12,0.861111,0.048611,0.043242,0.145811,0.005369,-0.097200
pro_rata_rights,12,0.986111,0.076389,0.065636,0.072581,0.010753,0.003808
rofr_cosale,12,0.875000,0.062500,0.056294,0.163220,0.006206,-0.100720
drag_along,12,0.854167,0.090278,0.079929,0.192758,0.010349,-0.102480
vesting_acceleration,12,0.925926,0.037037,0.029272,0.080014,0.007765,-0.042977
vesting_schedule,12,0.833333,0.083333,0.036422,0.181949,0.046912,-0.098616
cliff_present,12,0.944444,0.083333,0.076231,0.118763,0.007103,-0.035430
acceleration_trigger,12,0.980769,0.044872,0.026726,0.037733,0.018145,0.007139
option_strike_409a,12,0.940476,0.071429,0.050615,0.090558,0.020814,-0.019130
exercise_window,12,0.966667,0.133333,0.102038,0.118705,0.031295,0.014628
securities_exemption,12,0.941667,0.133333,0.097942,0.150937,0.035391,-0.017604
form_d_fields,12,0.958333,0.083333,0.083069,0.124736,0.000264,-0.041402
s1_use_of_proceeds,12,0.850000,0.266667,0.175521,0.260338,0.091146,0.006328
s1_risk_factors,12,0.900000,0.166667,0.081266,0.166614,0.085401,0.000053
financial_statement_qa,12,0.833333,0.200000,0.117000,0.239648,0.083000,-0.039648
flag_offmarket_liqpref,12,0.816667,0.108333,0.092759,0.218611,0.015574,-0.110277
flag_full_ratchet,12,0.916667,0.023810,0.018094,0.083333,0.005715,-0.059524
flag_uncapped_participation,12,0.750000,0.032051,0.025125,0.260523,0.006926,-0.228471
flag_missing_pro_rata,12,0.875000,0.083333,0.080948,0.205948,0.002386,-0.122614
flag_internal_inconsistency,12,0.916667,0.133333,0.115363,0.148716,0.017970,-0.015382
