leaf,mean_wobble,n_models_wobble,mean_accuracy,n_models_accuracy
post_money_valuation,0.041667,12,0.916667,12
pre_vs_post_money,0.131579,12,0.903509,12
price_per_share,0.114583,12,0.677083,12
round_size,0.041667,12,0.883333,12
per_investor_allocation,0.116667,12,0.933333,12
liquidation_preference_multiple,0.194444,12,0.601852,12
participation_type,0.175926,12,0.657407,12
participation_cap,0.000000,12,1.000000,12
preference_seniority,0.060606,12,0.757576,12
dividend_rate_pct,0.055556,12,1.000000,12
dividend_cumulative,0.036458,12,0.973958,12
antidilution_type,0.050000,12,0.916667,12
antidilution_base,0.033333,12,0.950000,12
conversion_ratio,0.100000,12,0.950000,12
auto_conversion_trigger,0.033333,12,0.983333,12
redemption_rights,0.083333,12,0.933333,12
safe_valuation_cap,0.052083,12,0.979167,12
safe_discount_rate,0.129630,12,0.888889,12
safe_cap_vs_discount_applies,0.128205,12,0.942308,12
safe_pre_post,0.041667,12,0.937500,12
safe_mfn_present,0.023810,12,0.964286,12
safe_pro_rata_side_letter,0.050000,12,0.994444,12
note_principal,0.000000,12,1.000000,12
note_interest_rate,0.069444,12,0.972222,12
note_maturity_date,0.083333,12,0.937500,12
note_valuation_cap,0.062500,12,0.979167,12
note_discount,0.048611,12,0.833333,12
note_qualified_financing_threshold,0.083333,12,1.000000,12
current_ownership_pct,0.194444,12,0.824074,12
founder_ownership_pct,0.194444,12,0.805556,12
investor_ownership_pct,0.125000,12,0.833333,12
employee_pool_pct,0.333333,12,0.833333,12
option_pool_shuffle,0.611111,12,0.444444,12
fully_diluted_basis,0.114583,12,0.927083,12
multi_round_stacked_dilution,0.150000,12,0.816667,12
liquidation_waterfall_payout,0.666667,12,0.500000,12
preference_stack_payout,0.208333,12,0.875000,12
convert_vs_preference_decision,0.000000,12,0.916667,12
board_seats_investor,0.259259,12,0.731481,12
protective_provisions,0.097222,12,0.916667,12
information_rights,0.048611,12,0.861111,12
pro_rata_rights,0.076389,12,0.986111,12
rofr_cosale,0.062500,12,0.875000,12
drag_along,0.090278,12,0.854167,12
vesting_acceleration,0.037037,12,0.925926,12
vesting_schedule,0.083333,12,0.833333,12
cliff_present,0.083333,12,0.944444,12
acceleration_trigger,0.044872,12,0.980769,12
option_strike_409a,0.071429,12,0.940476,12
exercise_window,0.133333,12,0.966667,12
securities_exemption,0.133333,12,0.941667,12
form_d_fields,0.083333,12,0.958333,12
s1_use_of_proceeds,0.266667,12,0.850000,12
s1_risk_factors,0.166667,12,0.900000,12
financial_statement_qa,0.200000,12,0.833333,12
flag_offmarket_liqpref,0.108333,12,0.816667,12
flag_full_ratchet,0.023810,12,0.916667,12
flag_uncapped_participation,0.032051,12,0.750000,12
flag_missing_pro_rata,0.083333,12,0.875000,12
flag_internal_inconsistency,0.133333,12,0.916667,12
