dropped_model,n_models,n_pairs,n_defined,median_rho,iqr
gemma3-1b,11,55,55,0.330469,0.177132
deepseek-v4f,11,55,55,0.289041,0.197361
deepseek-v4p,11,55,55,0.304434,0.190539
gemma4-31b-or,11,55,55,0.289041,0.184229
mistral-large-or,11,55,55,0.278735,0.180656
minimax-m2.5-or,11,55,55,0.294882,0.200081
llama3.3-70b-or,11,55,55,0.278735,0.188709
gemma3-1b-qat,11,55,55,0.318255,0.192060
gemini3-flash-or,11,55,55,0.297821,0.199006
haiku-4.5-direct,11,55,55,0.304434,0.202904
gpt-oss-120b-or,11,55,55,0.294882,0.194472
gpt5-mini-or,11,55,55,0.278735,0.183653
