model,category,n_leaves,flipped_items,measured_items,rate,wilson_lo,wilson_hi,estimable
gemma3-1b,cap_table,7,32,33,0.969697,0.846813,0.994631,1
gemma3-1b,convertibles,12,28,94,0.297872,0.214844,0.396772,1
gemma3-1b,exit_waterfall,3,6,8,0.750000,0.409275,0.928521,1
gemma3-1b,founder_equity,5,16,46,0.347826,0.226810,0.492299,1
gemma3-1b,priced_equity,16,71,144,0.493056,0.412646,0.573826,1
gemma3-1b,regulatory,5,17,27,0.629630,0.442292,0.784675,1
gemma3-1b,rights_governance,7,20,78,0.256410,0.172554,0.363133,1
gemma3-1b,risk_flag,5,9,39,0.230769,0.126458,0.383363,1
deepseek-v4f,cap_table,7,2,33,0.060606,0.016781,0.196062,1
deepseek-v4f,convertibles,12,4,95,0.042105,0.016494,0.103309,1
deepseek-v4f,exit_waterfall,3,1,8,0.125000,0.022417,0.470888,1
deepseek-v4f,founder_equity,5,1,46,0.021739,0.003848,0.113353,1
deepseek-v4f,priced_equity,16,7,144,0.048611,0.023744,0.096936,1
deepseek-v4f,regulatory,5,4,27,0.148148,0.059159,0.324787,1
deepseek-v4f,rights_governance,7,5,78,0.064103,0.027689,0.141436,1
deepseek-v4f,risk_flag,5,3,39,0.076923,0.026507,0.203211,1
deepseek-v4p,cap_table,7,0,33,0.000000,0.000000,0.104270,1
deepseek-v4p,convertibles,12,7,94,0.074468,0.036539,0.145812,1
deepseek-v4p,exit_waterfall,3,1,8,0.125000,0.022417,0.470888,1
deepseek-v4p,founder_equity,5,2,46,0.043478,0.012005,0.145323,1
deepseek-v4p,priced_equity,16,4,144,0.027778,0.010854,0.069242,1
deepseek-v4p,regulatory,5,2,27,0.074074,0.020555,0.233696,1
deepseek-v4p,rights_governance,7,4,78,0.051282,0.020121,0.124567,1
deepseek-v4p,risk_flag,5,1,39,0.025641,0.004541,0.131810,1
gemma4-31b-or,cap_table,7,4,33,0.121212,0.048162,0.273255,1
gemma4-31b-or,convertibles,12,0,94,0.000000,0.000000,0.039262,1
gemma4-31b-or,exit_waterfall,3,4,8,0.500000,0.215216,0.784784,1
gemma4-31b-or,founder_equity,5,0,46,0.000000,0.000000,0.077074,1
gemma4-31b-or,priced_equity,16,1,144,0.006944,0.001227,0.038285,1
gemma4-31b-or,regulatory,5,1,27,0.037037,0.006568,0.182835,1
gemma4-31b-or,rights_governance,7,4,78,0.051282,0.020121,0.124567,1
gemma4-31b-or,risk_flag,5,0,39,0.000000,0.000000,0.089667,1
mistral-large-or,cap_table,7,1,33,0.030303,0.005369,0.153187,1
mistral-large-or,convertibles,12,0,95,0.000000,0.000000,0.038865,1
mistral-large-or,exit_waterfall,3,2,8,0.250000,0.071479,0.590725,1
mistral-large-or,founder_equity,5,3,46,0.065217,0.022428,0.175027,1
mistral-large-or,priced_equity,16,3,144,0.020833,0.007110,0.059458,1
mistral-large-or,regulatory,5,2,27,0.074074,0.020555,0.233696,1
mistral-large-or,rights_governance,7,3,78,0.038462,0.013166,0.107084,1
mistral-large-or,risk_flag,5,1,39,0.025641,0.004541,0.131810,1
minimax-m2.5-or,cap_table,7,3,33,0.090909,0.031404,0.235726,1
minimax-m2.5-or,convertibles,12,4,95,0.042105,0.016494,0.103309,1
minimax-m2.5-or,exit_waterfall,3,3,8,0.375000,0.136844,0.694258,1
minimax-m2.5-or,founder_equity,5,3,46,0.065217,0.022428,0.175027,1
minimax-m2.5-or,priced_equity,16,6,144,0.041667,0.019234,0.087918,1
minimax-m2.5-or,regulatory,5,8,27,0.296296,0.158530,0.484807,1
minimax-m2.5-or,rights_governance,7,8,78,0.102564,0.052893,0.189544,1
minimax-m2.5-or,risk_flag,5,0,39,0.000000,0.000000,0.089667,1
llama3.3-70b-or,cap_table,7,3,33,0.090909,0.031404,0.235726,1
