subset,model_a,model_b,n_leaves,spearman_rho,kendall_tau,tie_fraction_a,tie_fraction_b,undefined_reason
active_subset,gemma3-1b,deepseek-v4f,57,0.010353,0.011572,0.8070,0.9123,
active_subset,gemma3-1b,deepseek-v4p,57,-0.165213,-0.137302,0.8070,0.8772,
active_subset,gemma3-1b,gemma4-31b-or,57,0.251225,0.207129,0.8070,0.8772,
active_subset,gemma3-1b,mistral-large-or,57,0.209246,0.166827,0.8070,0.8772,
active_subset,gemma3-1b,minimax-m2.5-or,57,0.189679,0.151595,0.8070,0.9298,
active_subset,gemma3-1b,llama3.3-70b-or,57,0.228481,0.190814,0.8070,0.9123,
active_subset,gemma3-1b,gemma3-1b-qat,57,0.406009,0.309907,0.8070,0.7719,
active_subset,gemma3-1b,gemini3-flash-or,57,0.068408,0.052642,0.8070,0.9123,
active_subset,gemma3-1b,haiku-4.5-direct,57,0.249189,0.201615,0.8070,0.9123,
active_subset,gemma3-1b,gpt-oss-120b-or,57,0.200287,0.166190,0.8070,0.8070,
active_subset,gemma3-1b,gpt5-mini-or,57,0.098531,0.079943,0.8070,0.8421,
active_subset,deepseek-v4f,deepseek-v4p,57,0.358385,0.322191,0.9123,0.8772,
active_subset,deepseek-v4f,gemma4-31b-or,57,0.163387,0.146280,0.9123,0.8772,
active_subset,deepseek-v4f,mistral-large-or,57,0.489722,0.452337,0.9123,0.8772,
active_subset,deepseek-v4f,minimax-m2.5-or,57,0.335718,0.313425,0.9123,0.9298,
active_subset,deepseek-v4f,llama3.3-70b-or,57,0.294882,0.265816,0.9123,0.9123,
active_subset,deepseek-v4f,gemma3-1b-qat,57,0.096884,0.083451,0.9123,0.7719,
active_subset,deepseek-v4f,gemini3-flash-or,57,0.282807,0.258917,0.9123,0.9123,
active_subset,deepseek-v4f,haiku-4.5-direct,57,0.330469,0.300834,0.9123,0.9123,
active_subset,deepseek-v4f,gpt-oss-120b-or,57,0.304434,0.273551,0.9123,0.8070,
active_subset,deepseek-v4f,gpt5-mini-or,57,0.386807,0.345583,0.9123,0.8421,
active_subset,deepseek-v4p,gemma4-31b-or,57,0.199123,0.186646,0.8772,0.8772,
active_subset,deepseek-v4p,mistral-large-or,57,0.401536,0.385191,0.8772,0.8772,
active_subset,deepseek-v4p,minimax-m2.5-or,57,0.227415,0.210498,0.8772,0.9298,
active_subset,deepseek-v4p,llama3.3-70b-or,57,0.440207,0.417203,0.8772,0.9123,
active_subset,deepseek-v4p,gemma3-1b-qat,57,0.032841,0.024897,0.8772,0.7719,
active_subset,deepseek-v4p,gemini3-flash-or,57,0.212349,0.197691,0.8772,0.9123,
active_subset,deepseek-v4p,haiku-4.5-direct,57,0.278735,0.260967,0.8772,0.9123,
active_subset,deepseek-v4p,gpt-oss-120b-or,57,0.063193,0.057305,0.8772,0.8070,
active_subset,deepseek-v4p,gpt5-mini-or,57,0.406656,0.388291,0.8772,0.8421,
