subset,model_a,model_b,n_leaves,spearman_rho,kendall_tau,tie_fraction_a,tie_fraction_b,undefined_reason
full_60_leaves,gemma3-1b,deepseek-v4f,60,0.062793,0.055017,0.8167,0.9167,
full_60_leaves,gemma3-1b,deepseek-v4p,60,-0.110478,-0.092200,0.8167,0.8833,
full_60_leaves,gemma3-1b,gemma4-31b-or,60,0.262629,0.217861,0.8167,0.8833,
full_60_leaves,gemma3-1b,mistral-large-or,60,0.231100,0.186384,0.8167,0.8833,
full_60_leaves,gemma3-1b,minimax-m2.5-or,60,0.226334,0.184245,0.8167,0.9333,
full_60_leaves,gemma3-1b,llama3.3-70b-or,60,0.242400,0.203148,0.8167,0.9167,
full_60_leaves,gemma3-1b,gemma3-1b-qat,60,0.465798,0.364906,0.8167,0.7833,
full_60_leaves,gemma3-1b,gemini3-flash-or,60,0.096633,0.076042,0.8167,0.9167,
full_60_leaves,gemma3-1b,haiku-4.5-direct,60,0.264792,0.216469,0.8167,0.9167,
full_60_leaves,gemma3-1b,gpt-oss-120b-or,60,0.239284,0.200368,0.8167,0.8167,
full_60_leaves,gemma3-1b,gpt5-mini-or,60,0.136819,0.112133,0.8167,0.8500,
full_60_leaves,deepseek-v4f,deepseek-v4p,60,0.371588,0.335510,0.9167,0.8833,
full_60_leaves,deepseek-v4f,gemma4-31b-or,60,0.169787,0.153121,0.9167,0.8833,
full_60_leaves,deepseek-v4f,mistral-large-or,60,0.497889,0.461631,0.9167,0.8833,
full_60_leaves,deepseek-v4f,minimax-m2.5-or,60,0.350489,0.327960,0.9167,0.9333,
full_60_leaves,deepseek-v4f,llama3.3-70b-or,60,0.301224,0.273077,0.9167,0.9167,
full_60_leaves,deepseek-v4f,gemma3-1b-qat,60,0.142971,0.121456,0.9167,0.7833,
full_60_leaves,deepseek-v4f,gemini3-flash-or,60,0.292041,0.268596,0.9167,0.9167,
full_60_leaves,deepseek-v4f,haiku-4.5-direct,60,0.339305,0.310588,0.9167,0.9167,
full_60_leaves,deepseek-v4f,gpt-oss-120b-or,60,0.319818,0.288874,0.9167,0.8167,
full_60_leaves,deepseek-v4f,gpt5-mini-or,60,0.394846,0.354872,0.9167,0.8500,
full_60_leaves,deepseek-v4p,gemma4-31b-or,60,0.204801,0.192563,0.8833,0.8833,
full_60_leaves,deepseek-v4p,mistral-large-or,60,0.409262,0.393015,0.8833,0.8833,
full_60_leaves,deepseek-v4p,minimax-m2.5-or,60,0.244494,0.226847,0.8833,0.9333,
full_60_leaves,deepseek-v4p,llama3.3-70b-or,60,0.444883,0.422793,0.8833,0.9167,
full_60_leaves,deepseek-v4p,gemma3-1b-qat,60,0.074941,0.060248,0.8833,0.7833,
full_60_leaves,deepseek-v4p,gemini3-flash-or,60,0.223344,0.208610,0.8833,0.9167,
full_60_leaves,deepseek-v4p,haiku-4.5-direct,60,0.288087,0.270522,0.8833,0.9167,
full_60_leaves,deepseek-v4p,gpt-oss-120b-or,60,0.085748,0.077969,0.8833,0.8167,
full_60_leaves,deepseek-v4p,gpt5-mini-or,60,0.416047,0.397762,0.8833,0.8500,
full_60_leaves,gemma4-31b-or,mistral-large-or,60,0.410328,0.391925,0.8833,0.8833,
full_60_leaves,gemma4-31b-or,minimax-m2.5-or,60,0.301486,0.278101,0.8833,0.9333,
full_60_leaves,gemma4-31b-or,llama3.3-70b-or,60,0.489329,0.473148,0.8833,0.9167,
full_60_leaves,gemma4-31b-or,gemma3-1b-qat,60,0.255032,0.211508,0.8833,0.7833,
full_60_leaves,gemma4-31b-or,gemini3-flash-or,60,0.412733,0.388512,0.8833,0.9167,
full_60_leaves,gemma4-31b-or,haiku-4.5-direct,60,0.476733,0.457225,0.8833,0.9167,
full_60_leaves,gemma4-31b-or,gpt-oss-120b-or,60,0.320610,0.293043,0.8833,0.8167,
full_60_leaves,gemma4-31b-or,gpt5-mini-or,60,0.584089,0.562296,0.8833,0.8500,
full_60_leaves,mistral-large-or,minimax-m2.5-or,60,0.477655,0.451833,0.8833,0.9333,
full_60_leaves,mistral-large-or,llama3.3-70b-or,60,0.517837,0.499257,0.8833,0.9167,
full_60_leaves,mistral-large-or,gemma3-1b-qat,60,0.281466,0.235033,0.8833,0.7833,
full_60_leaves,mistral-large-or,gemini3-flash-or,60,0.436664,0.412018,0.8833,0.9167,
full_60_leaves,mistral-large-or,haiku-4.5-direct,60,0.401456,0.385141,0.8833,0.9167,
full_60_leaves,mistral-large-or,gpt-oss-120b-or,60,0.327369,0.294068,0.8833,0.8167,
full_60_leaves,mistral-large-or,gpt5-mini-or,60,0.392829,0.367540,0.8833,0.8500,
full_60_leaves,minimax-m2.5-or,llama3.3-70b-or,60,0.380083,0.354691,0.9333,0.9167,
full_60_leaves,minimax-m2.5-or,gemma3-1b-qat,60,0.269591,0.231810,0.9333,0.7833,
full_60_leaves,minimax-m2.5-or,gemini3-flash-or,60,0.220532,0.203156,0.9333,0.9167,
full_60_leaves,minimax-m2.5-or,haiku-4.5-direct,60,0.253380,0.232954,0.9333,0.9167,
full_60_leaves,minimax-m2.5-or,gpt-oss-120b-or,60,0.646809,0.594670,0.9333,0.8167,
full_60_leaves,minimax-m2.5-or,gpt5-mini-or,60,0.533984,0.499871,0.9333,0.8500,
full_60_leaves,llama3.3-70b-or,gemma3-1b-qat,60,0.205909,0.171961,0.9167,0.7833,
full_60_leaves,llama3.3-70b-or,gemini3-flash-or,60,0.423079,0.400163,0.9167,0.9167,
full_60_leaves,llama3.3-70b-or,haiku-4.5-direct,60,0.390517,0.375254,0.9167,0.9167,
full_60_leaves,llama3.3-70b-or,gpt-oss-120b-or,60,0.343220,0.311558,0.9167,0.8167,
full_60_leaves,llama3.3-70b-or,gpt5-mini-or,60,0.482015,0.458090,0.9167,0.8500,
full_60_leaves,gemma3-1b-qat,gemini3-flash-or,60,0.384374,0.325262,0.7833,0.9167,
full_60_leaves,gemma3-1b-qat,haiku-4.5-direct,60,0.289508,0.240745,0.7833,0.9167,
full_60_leaves,gemma3-1b-qat,gpt-oss-120b-or,60,0.154103,0.136639,0.7833,0.8167,
full_60_leaves,gemma3-1b-qat,gpt5-mini-or,60,0.167041,0.138486,0.7833,0.8500,
