model,leaf,item,stored_modal,fresh_modal,agree,stored_dispersion,fresh_dispersion
gemma3-1b,convert_vs_preference_decision,example4_convert,convert,convert,1,0.0,0.0
gemma3-1b,convert_vs_preference_decision,example5_take_preference,convert,convert,1,0.0,0.0
gemma3-1b,liquidation_waterfall_payout,col1_selected_companies_ltm,0.48,0.46,0,0.7647058823529411,0.8947368421052632
gemma3-1b,liquidation_waterfall_payout,col2_selected_companies_fy17e,0.3,0.3,1,0.8947368421052632,0.7222222222222222
gemma3-1b,liquidation_waterfall_payout,col3_selected_companies_fy18e,0.3,0.48,0,0.7647058823529411,0.7894736842105263
gemma3-1b,liquidation_waterfall_payout,col4_discounted_cash_flow,0.3,0.3,1,0.8823529411764706,0.736842105263158
gemma3-1b,multi_round_stacked_dilution,civitas,13.6,13.6,1,0.0,0.09999999999999998
gemma3-1b,multi_round_stacked_dilution,hyrecar,0.0,0.0,1,0.4,0.44999999999999996
gemma3-1b,multi_round_stacked_dilution,castlebio,3.07,3.07,1,0.8461538461538461,0.7647058823529411
gemma3-1b,multi_round_stacked_dilution,veritone,0.0,0.0,1,0.5789473684210527,0.5263157894736843
gemma3-1b,multi_round_stacked_dilution,axcella,0.77,0.77,1,0.736842105263158,0.5263157894736843
gemma3-1b,option_pool_shuffle,example1,9.0,9.0,1,0.5,0.6
gemma3-1b,option_pool_shuffle,example2,0.909,0.909,1,0.19999999999999996,0.26315789473684215
gemma3-1b,option_pool_shuffle,example3,0.909,0.909,1,0.44999999999999996,0.55
gemma3-1b-qat,convert_vs_preference_decision,example4_convert,convert,convert,1,0.0,0.0
gemma3-1b-qat,convert_vs_preference_decision,example5_take_preference,convert,convert,1,0.0,0.0
gemma3-1b-qat,liquidation_waterfall_payout,col1_selected_companies_ltm,0.51,0.51,1,0.4,0.5
gemma3-1b-qat,liquidation_waterfall_payout,col2_selected_companies_fy17e,0.51,0.51,1,0.25,0.35
gemma3-1b-qat,liquidation_waterfall_payout,col3_selected_companies_fy18e,0.51,0.51,1,0.25,0.44999999999999996
gemma3-1b-qat,liquidation_waterfall_payout,col4_discounted_cash_flow,0.51,0.51,1,0.55,0.7
gemma3-1b-qat,multi_round_stacked_dilution,civitas,13.6,13.6,1,0.0,0.0
gemma3-1b-qat,multi_round_stacked_dilution,hyrecar,0.46,0.53,0,0.8,0.7
gemma3-1b-qat,multi_round_stacked_dilution,castlebio,3.07,3.07,1,0.0,0.0
gemma3-1b-qat,multi_round_stacked_dilution,veritone,2.18,2.18,1,0.5,0.4
gemma3-1b-qat,multi_round_stacked_dilution,axcella,0.77,0.77,1,0.25,0.25
gemma3-1b-qat,option_pool_shuffle,example1,0.0909091,0.0909091,1,0.26315789473684215,0.15000000000000002
gemma3-1b-qat,option_pool_shuffle,example2,0.24,0.24,1,0.4,0.4
gemma3-1b-qat,option_pool_shuffle,example3,0.173913,0.173913,1,0.5,0.5
