leaf,item,model,before_flipped,before_n,after_flipped,after_n,before_dispersion,after_dispersion
convert_vs_preference_decision,example4_convert,gemma3-1b,0,20,0,19,0.0,0.0
convert_vs_preference_decision,example5_take_preference,gemma3-1b,0,19,0,20,0.0,0.0
convert_vs_preference_decision,example4_convert,gemma3-1b-qat,0,20,0,20,0.0,0.0
convert_vs_preference_decision,example5_take_preference,gemma3-1b-qat,0,20,0,20,0.0,0.0
convert_vs_preference_decision,example4_convert,deepseek-v4f,0,20,1,20,0.0,0.44999999999999996
convert_vs_preference_decision,example5_take_preference,deepseek-v4f,0,20,0,20,0.0,0.0
convert_vs_preference_decision,example4_convert,deepseek-v4p,0,20,1,20,0.0,0.09999999999999998
convert_vs_preference_decision,example5_take_preference,deepseek-v4p,0,20,0,20,0.0,0.0
convert_vs_preference_decision,example4_convert,haiku-4.5-direct,0,20,0,20,0.0,0.0
convert_vs_preference_decision,example5_take_preference,haiku-4.5-direct,0,20,0,20,0.0,0.0
convert_vs_preference_decision,example4_convert,gemma4-31b-or,0,20,0,20,0.0,0.0
convert_vs_preference_decision,example5_take_preference,gemma4-31b-or,0,20,0,20,0.0,0.0
convert_vs_preference_decision,example4_convert,mistral-large-or,0,20,0,20,0.0,0.0
convert_vs_preference_decision,example5_take_preference,mistral-large-or,0,20,0,20,0.0,0.0
convert_vs_preference_decision,example4_convert,minimax-m2.5-or,0,18,0,20,0.0,0.0
convert_vs_preference_decision,example5_take_preference,minimax-m2.5-or,0,20,0,20,0.0,0.0
convert_vs_preference_decision,example4_convert,llama3.3-70b-or,0,20,0,20,0.0,0.0
convert_vs_preference_decision,example5_take_preference,llama3.3-70b-or,0,20,0,20,0.0,0.0
convert_vs_preference_decision,example4_convert,gemini3-flash-or,0,20,0,20,0.0,0.0
convert_vs_preference_decision,example5_take_preference,gemini3-flash-or,0,20,0,20,0.0,0.0
convert_vs_preference_decision,example4_convert,gpt-oss-120b-or,0,20,0,20,0.0,0.0
convert_vs_preference_decision,example5_take_preference,gpt-oss-120b-or,0,20,0,20,0.0,0.0
convert_vs_preference_decision,example4_convert,gpt5-mini-or,0,20,0,20,0.0,0.0
convert_vs_preference_decision,example5_take_preference,gpt5-mini-or,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,civitas,gemma3-1b,1,20,1,20,0.09999999999999998,0.050000000000000044
multi_round_stacked_dilution,hyrecar,gemma3-1b,1,20,1,20,0.44999999999999996,0.050000000000000044
multi_round_stacked_dilution,castlebio,gemma3-1b,1,17,0,20,0.7647058823529411,0.0
multi_round_stacked_dilution,veritone,gemma3-1b,1,19,1,19,0.5263157894736843,0.052631578947368474
multi_round_stacked_dilution,axcella,gemma3-1b,1,19,1,20,0.5263157894736843,0.55
multi_round_stacked_dilution,civitas,gemma3-1b-qat,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,hyrecar,gemma3-1b-qat,1,20,1,20,0.7,0.050000000000000044
multi_round_stacked_dilution,castlebio,gemma3-1b-qat,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,veritone,gemma3-1b-qat,1,20,0,20,0.4,0.0
multi_round_stacked_dilution,axcella,gemma3-1b-qat,1,20,1,20,0.25,0.65
multi_round_stacked_dilution,civitas,deepseek-v4f,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,hyrecar,deepseek-v4f,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,castlebio,deepseek-v4f,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,veritone,deepseek-v4f,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,axcella,deepseek-v4f,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,civitas,deepseek-v4p,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,hyrecar,deepseek-v4p,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,castlebio,deepseek-v4p,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,veritone,deepseek-v4p,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,axcella,deepseek-v4p,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,civitas,haiku-4.5-direct,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,hyrecar,haiku-4.5-direct,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,castlebio,haiku-4.5-direct,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,veritone,haiku-4.5-direct,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,axcella,haiku-4.5-direct,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,civitas,gemma4-31b-or,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,hyrecar,gemma4-31b-or,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,castlebio,gemma4-31b-or,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,veritone,gemma4-31b-or,0,20,1,20,0.0,0.09999999999999998
multi_round_stacked_dilution,axcella,gemma4-31b-or,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,civitas,mistral-large-or,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,hyrecar,mistral-large-or,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,castlebio,mistral-large-or,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,veritone,mistral-large-or,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,axcella,mistral-large-or,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,civitas,minimax-m2.5-or,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,hyrecar,minimax-m2.5-or,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,castlebio,minimax-m2.5-or,0,20,1,20,0.0,0.050000000000000044
multi_round_stacked_dilution,veritone,minimax-m2.5-or,0,20,1,20,0.0,0.4
multi_round_stacked_dilution,axcella,minimax-m2.5-or,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,civitas,llama3.3-70b-or,1,20,1,20,0.5,0.050000000000000044
multi_round_stacked_dilution,hyrecar,llama3.3-70b-or,0,20,1,20,0.0,0.050000000000000044
multi_round_stacked_dilution,castlebio,llama3.3-70b-or,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,veritone,llama3.3-70b-or,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,axcella,llama3.3-70b-or,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,civitas,gemini3-flash-or,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,hyrecar,gemini3-flash-or,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,castlebio,gemini3-flash-or,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,veritone,gemini3-flash-or,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,axcella,gemini3-flash-or,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,civitas,gpt-oss-120b-or,1,20,1,20,0.050000000000000044,0.050000000000000044
multi_round_stacked_dilution,hyrecar,gpt-oss-120b-or,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,castlebio,gpt-oss-120b-or,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,veritone,gpt-oss-120b-or,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,axcella,gpt-oss-120b-or,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,civitas,gpt5-mini-or,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,hyrecar,gpt5-mini-or,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,castlebio,gpt5-mini-or,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,veritone,gpt5-mini-or,0,20,0,20,0.0,0.0
multi_round_stacked_dilution,axcella,gpt5-mini-or,0,20,0,20,0.0,0.0
option_pool_shuffle,example1,gemma3-1b,1,20,1,20,0.6,0.19999999999999996
option_pool_shuffle,example2,gemma3-1b,1,19,1,20,0.26315789473684215,0.050000000000000044
option_pool_shuffle,example3,gemma3-1b,1,20,1,20,0.55,0.09999999999999998
option_pool_shuffle,example1,gemma3-1b-qat,1,20,1,20,0.15000000000000002,0.30000000000000004
option_pool_shuffle,example2,gemma3-1b-qat,1,20,1,20,0.4,0.050000000000000044
option_pool_shuffle,example3,gemma3-1b-qat,1,20,1,20,0.5,0.050000000000000044
option_pool_shuffle,example1,deepseek-v4f,1,20,0,20,0.19999999999999996,0.0
option_pool_shuffle,example2,deepseek-v4f,0,6,0,20,0.0,0.0
option_pool_shuffle,example3,deepseek-v4f,1,18,0,20,0.05555555555555558,0.0
option_pool_shuffle,example1,deepseek-v4p,0,20,0,20,0.0,0.0
option_pool_shuffle,example2,deepseek-v4p,0,20,0,20,0.0,0.0
option_pool_shuffle,example3,deepseek-v4p,0,20,0,20,0.0,0.0
option_pool_shuffle,example1,haiku-4.5-direct,1,20,0,20,0.5,0.0
option_pool_shuffle,example2,haiku-4.5-direct,0,16,0,20,0.0,0.0
option_pool_shuffle,example3,haiku-4.5-direct,0,20,0,20,0.0,0.0
option_pool_shuffle,example1,gemma4-31b-or,1,20,0,20,0.5,0.0
option_pool_shuffle,example2,gemma4-31b-or,0,20,0,20,0.0,0.0
option_pool_shuffle,example3,gemma4-31b-or,1,20,0,20,0.09999999999999998,0.0
option_pool_shuffle,example1,mistral-large-or,0,20,0,20,0.0,0.0
