model,n_leaves,wobble_half_A,wobble_half_B,wobble_full,r_half,r_full,tie_A,tie_B,zero_A,zero_B,undefined_reason
gemma3-1b,57,0.370569,0.406254,0.464977,0.725912,0.841192,0.6842,0.7895,0.1579,0.1053,
deepseek-v4f,57,0.046281,0.045477,0.059790,0.770667,0.870482,0.9123,0.9123,0.7544,0.7193,
deepseek-v4p,57,0.039329,0.031799,0.047233,0.700040,0.823557,0.8596,0.8596,0.7719,0.8070,
gemma4-31b-or,57,0.038353,0.041764,0.046150,0.999352,0.999676,0.9123,0.8772,0.8772,0.8772,
mistral-large-or,57,0.038304,0.035867,0.044152,0.859695,0.924555,0.8947,0.8947,0.8070,0.8070,
minimax-m2.5-or,56,0.085155,0.063690,0.106468,0.821069,0.901744,0.9107,0.8596,0.6964,0.7895,
llama3.3-70b-or,57,0.043567,0.040546,0.051852,0.930068,0.963767,0.9649,0.8947,0.8421,0.8596,
gemma3-1b-qat,57,0.353720,0.366489,0.413602,0.805487,0.892266,0.8070,0.7895,0.2105,0.1579,
gemini3-flash-or,57,0.031089,0.029335,0.037229,0.711194,0.831226,0.9123,0.8772,0.8421,0.8421,
haiku-4.5-direct,57,0.034878,0.042675,0.042675,0.859196,0.924266,0.8772,0.9123,0.8772,0.8421,
gpt-oss-120b-or,57,0.051249,0.067269,0.082669,0.634314,0.776245,0.8421,0.8421,0.7368,0.7018,
gpt5-mini-or,57,0.061837,0.053845,0.068075,0.877044,0.934495,0.8596,0.8947,0.8070,0.7544,
