k,from,to,k_effective_a,k_effective_b,hits,rate,chance,lift,truncated_a,truncated_b
5,gemma3-1b,deepseek-v4f,5,10,0,0.000000,0.175439,-0.175439,0,0
5,gemma3-1b,deepseek-v4p,5,10,0,0.000000,0.175439,-0.175439,0,0
5,gemma3-1b,gemma4-31b-or,5,7,1,0.200000,0.122807,0.077193,0,1
5,gemma3-1b,mistral-large-or,5,10,0,0.000000,0.175439,-0.175439,0,0
5,gemma3-1b,minimax-m2.5-or,5,10,1,0.200000,0.175439,0.024561,0,0
5,gemma3-1b,llama3.3-70b-or,5,9,0,0.000000,0.157895,-0.157895,0,1
5,gemma3-1b,gemma3-1b-qat,5,10,3,0.600000,0.175439,0.424561,0,0
5,gemma3-1b,gemini3-flash-or,5,10,0,0.000000,0.175439,-0.175439,0,0
5,gemma3-1b,haiku-4.5-direct,5,9,2,0.400000,0.157895,0.242105,0,1
5,gemma3-1b,gpt-oss-120b-or,5,10,2,0.400000,0.175439,0.224561,0,0
5,gemma3-1b,gpt5-mini-or,5,10,0,0.000000,0.175439,-0.175439,0,0
5,deepseek-v4f,gemma3-1b,5,10,2,0.400000,0.175439,0.224561,0,0
5,deepseek-v4f,deepseek-v4p,5,10,2,0.400000,0.175439,0.224561,0,0
5,deepseek-v4f,gemma4-31b-or,5,7,2,0.400000,0.122807,0.277193,0,1
5,deepseek-v4f,mistral-large-or,5,10,3,0.600000,0.175439,0.424561,0,0
5,deepseek-v4f,minimax-m2.5-or,5,10,3,0.600000,0.175439,0.424561,0,0
5,deepseek-v4f,llama3.3-70b-or,5,9,3,0.600000,0.157895,0.442105,0,1
5,deepseek-v4f,gemma3-1b-qat,5,10,3,0.600000,0.175439,0.424561,0,0
5,deepseek-v4f,gemini3-flash-or,5,10,3,0.600000,0.175439,0.424561,0,0
5,deepseek-v4f,haiku-4.5-direct,5,9,3,0.600000,0.157895,0.442105,0,1
5,deepseek-v4f,gpt-oss-120b-or,5,10,2,0.400000,0.175439,0.224561,0,0
5,deepseek-v4f,gpt5-mini-or,5,10,2,0.400000,0.175439,0.224561,0,0
5,deepseek-v4p,gemma3-1b,5,10,1,0.200000,0.175439,0.024561,0,0
5,deepseek-v4p,deepseek-v4f,5,10,3,0.600000,0.175439,0.424561,0,0
5,deepseek-v4p,gemma4-31b-or,5,7,2,0.400000,0.122807,0.277193,0,1
5,deepseek-v4p,mistral-large-or,5,10,2,0.400000,0.175439,0.224561,0,0
5,deepseek-v4p,minimax-m2.5-or,5,10,2,0.400000,0.175439,0.224561,0,0
5,deepseek-v4p,llama3.3-70b-or,5,9,3,0.600000,0.157895,0.442105,0,1
5,deepseek-v4p,gemma3-1b-qat,5,10,1,0.200000,0.175439,0.024561,0,0
5,deepseek-v4p,gemini3-flash-or,5,10,2,0.400000,0.175439,0.224561,0,0
5,deepseek-v4p,haiku-4.5-direct,5,9,1,0.200000,0.157895,0.042105,0,1
5,deepseek-v4p,gpt-oss-120b-or,5,10,1,0.200000,0.175439,0.024561,0,0
5,deepseek-v4p,gpt5-mini-or,5,10,3,0.600000,0.175439,0.424561,0,0
5,gemma4-31b-or,gemma3-1b,5,10,3,0.600000,0.175439,0.424561,0,0
5,gemma4-31b-or,deepseek-v4f,5,10,3,0.600000,0.175439,0.424561,0,0
5,gemma4-31b-or,deepseek-v4p,5,10,3,0.600000,0.175439,0.424561,0,0
5,gemma4-31b-or,mistral-large-or,5,10,4,0.800000,0.175439,0.624561,0,0
5,gemma4-31b-or,minimax-m2.5-or,5,10,4,0.800000,0.175439,0.624561,0,0
5,gemma4-31b-or,llama3.3-70b-or,5,9,4,0.800000,0.157895,0.642105,0,1
5,gemma4-31b-or,gemma3-1b-qat,5,10,3,0.600000,0.175439,0.424561,0,0
5,gemma4-31b-or,gemini3-flash-or,5,10,3,0.600000,0.175439,0.424561,0,0
5,gemma4-31b-or,haiku-4.5-direct,5,9,4,0.800000,0.157895,0.642105,0,1
5,gemma4-31b-or,gpt-oss-120b-or,5,10,2,0.400000,0.175439,0.224561,0,0
5,gemma4-31b-or,gpt5-mini-or,5,10,4,0.800000,0.175439,0.624561,0,0
5,mistral-large-or,gemma3-1b,5,10,2,0.400000,0.175439,0.224561,0,0
5,mistral-large-or,deepseek-v4f,5,10,4,0.800000,0.175439,0.624561,0,0
5,mistral-large-or,deepseek-v4p,5,10,2,0.400000,0.175439,0.224561,0,0
5,mistral-large-or,gemma4-31b-or,5,7,3,0.600000,0.122807,0.477193,0,1
5,mistral-large-or,minimax-m2.5-or,5,10,4,0.800000,0.175439,0.624561,0,0
5,mistral-large-or,llama3.3-70b-or,5,9,3,0.600000,0.157895,0.442105,0,1
5,mistral-large-or,gemma3-1b-qat,5,10,2,0.400000,0.175439,0.224561,0,0
5,mistral-large-or,gemini3-flash-or,5,10,3,0.600000,0.175439,0.424561,0,0
5,mistral-large-or,haiku-4.5-direct,5,9,2,0.400000,0.157895,0.242105,0,1
5,mistral-large-or,gpt-oss-120b-or,5,10,3,0.600000,0.175439,0.424561,0,0
5,mistral-large-or,gpt5-mini-or,5,10,4,0.800000,0.175439,0.624561,0,0
5,minimax-m2.5-or,gemma3-1b,5,10,4,0.800000,0.175439,0.624561,0,0
5,minimax-m2.5-or,deepseek-v4f,5,10,3,0.600000,0.175439,0.424561,0,0
5,minimax-m2.5-or,deepseek-v4p,5,10,2,0.400000,0.175439,0.224561,0,0
5,minimax-m2.5-or,gemma4-31b-or,5,7,3,0.600000,0.122807,0.477193,0,1
5,minimax-m2.5-or,mistral-large-or,5,10,3,0.600000,0.175439,0.424561,0,0
5,minimax-m2.5-or,llama3.3-70b-or,5,9,3,0.600000,0.157895,0.442105,0,1
5,minimax-m2.5-or,gemma3-1b-qat,5,10,4,0.800000,0.175439,0.624561,0,0
5,minimax-m2.5-or,gemini3-flash-or,5,10,3,0.600000,0.175439,0.424561,0,0
5,minimax-m2.5-or,haiku-4.5-direct,5,9,2,0.400000,0.157895,0.242105,0,1
5,minimax-m2.5-or,gpt-oss-120b-or,5,10,3,0.600000,0.175439,0.424561,0,0
5,minimax-m2.5-or,gpt5-mini-or,5,10,3,0.600000,0.175439,0.424561,0,0
5,llama3.3-70b-or,gemma3-1b,5,10,2,0.400000,0.175439,0.224561,0,0
5,llama3.3-70b-or,deepseek-v4f,5,10,3,0.600000,0.175439,0.424561,0,0
5,llama3.3-70b-or,deepseek-v4p,5,10,3,0.600000,0.175439,0.424561,0,0
5,llama3.3-70b-or,gemma4-31b-or,5,7,3,0.600000,0.122807,0.477193,0,1
5,llama3.3-70b-or,mistral-large-or,5,10,3,0.600000,0.175439,0.424561,0,0
5,llama3.3-70b-or,minimax-m2.5-or,5,10,3,0.600000,0.175439,0.424561,0,0
5,llama3.3-70b-or,gemma3-1b-qat,5,10,2,0.400000,0.175439,0.224561,0,0
5,llama3.3-70b-or,gemini3-flash-or,5,10,3,0.600000,0.175439,0.424561,0,0
5,llama3.3-70b-or,haiku-4.5-direct,5,9,2,0.400000,0.157895,0.242105,0,1
5,llama3.3-70b-or,gpt-oss-120b-or,5,10,3,0.600000,0.175439,0.424561,0,0
5,llama3.3-70b-or,gpt5-mini-or,5,10,3,0.600000,0.175439,0.424561,0,0
5,gemma3-1b-qat,gemma3-1b,5,10,4,0.800000,0.175439,0.624561,0,0
5,gemma3-1b-qat,deepseek-v4f,5,10,1,0.200000,0.175439,0.024561,0,0
5,gemma3-1b-qat,deepseek-v4p,5,10,2,0.400000,0.175439,0.224561,0,0
5,gemma3-1b-qat,gemma4-31b-or,5,7,2,0.400000,0.122807,0.277193,0,1
5,gemma3-1b-qat,mistral-large-or,5,10,2,0.400000,0.175439,0.224561,0,0
5,gemma3-1b-qat,minimax-m2.5-or,5,10,2,0.400000,0.175439,0.224561,0,0
5,gemma3-1b-qat,llama3.3-70b-or,5,9,1,0.200000,0.157895,0.042105,0,1
5,gemma3-1b-qat,gemini3-flash-or,5,10,2,0.400000,0.175439,0.224561,0,0
5,gemma3-1b-qat,haiku-4.5-direct,5,9,3,0.600000,0.157895,0.442105,0,1
5,gemma3-1b-qat,gpt-oss-120b-or,5,10,2,0.400000,0.175439,0.224561,0,0
5,gemma3-1b-qat,gpt5-mini-or,5,10,1,0.200000,0.175439,0.024561,0,0
5,gemini3-flash-or,gemma3-1b,5,10,2,0.400000,0.175439,0.224561,0,0
