dropped,n_models,mean,hits,ratio
(none),10,0.1866666666666666,84,8.913857677902639
gemini3-flash-or,9,0.1972222222222222,71,9.429687500000014
haiku-4.5-direct,9,0.16944444444444443,61,7.808734939759049
gemma4-31b-or,9,0.1861111111111111,67,8.576807228915676
mistral-large-or,9,0.21111111111111105,76,10.221518987341787
llama3.3-70b-or,9,0.1972222222222222,71,9.313271604938285
deepseek-v4p,9,0.16388888888888886,59,7.935126582278492
gpt5-mini-or,9,0.17222222222222222,62,8.33860759493672
deepseek-v4f,9,0.17499999999999993,63,8.473101265822796
gpt-oss-120b-or,9,0.1944444444444444,70,9.41455696202533
minimax-m2.5-or,9,0.19999999999999998,72,9.683544303797483
