k,statistic,draw,value
3,median,0,0.0
3,median,1,0.0
3,median,2,0.0
3,median,3,0.0
3,median,4,0.0
3,median,5,0.0
3,median,6,0.0
3,median,7,0.0
3,median,8,0.0
3,median,9,0.0
3,median,10,0.0
3,median,11,0.0
3,median,12,0.0
3,median,13,0.0
3,median,14,0.0
3,median,15,0.0
3,median,16,0.0
3,median,17,0.0
3,median,18,0.0
3,median,19,0.0
3,median,20,0.0
3,median,21,0.0
3,median,22,0.0
3,median,23,0.0
3,median,24,0.0
3,median,25,0.0
3,median,26,0.0
3,median,27,0.0
3,median,28,0.0
3,median,29,0.0
3,median,30,0.0
3,median,31,0.0
3,median,32,0.0
3,median,33,0.0
3,median,34,0.0
3,median,35,0.0
3,median,36,0.0
3,median,37,0.0
3,median,38,0.0
3,median,39,0.0
3,median,40,0.0
3,median,41,0.0
3,median,42,0.0
3,median,43,0.0
3,median,44,0.0
3,median,45,0.0
3,median,46,0.0
3,median,47,0.0
3,median,48,0.0
3,median,49,0.0
3,median,50,0.0
3,median,51,0.0
3,median,52,0.0
3,median,53,0.0
3,median,54,0.0
3,median,55,0.0
3,median,56,0.0
3,median,57,0.0
3,median,58,0.0
3,median,59,0.0
3,median,60,0.0
3,median,61,0.0
3,median,62,0.0
3,median,63,0.0
3,median,64,0.0
3,median,65,0.0
3,median,66,0.0
3,median,67,0.0
3,median,68,0.0
3,median,69,0.0
3,median,70,0.0
3,median,71,0.0
3,median,72,0.0
3,median,73,0.0
3,median,74,0.0
3,median,75,0.0
3,median,76,0.0
3,median,77,0.0
3,median,78,0.0
3,median,79,0.0
3,median,80,0.0
3,median,81,0.0
3,median,82,0.0
3,median,83,0.0
3,median,84,0.0
3,median,85,0.0
3,median,86,0.0
3,median,87,0.0
3,median,88,0.0
3,median,89,0.0
3,median,90,0.0
3,median,91,0.0
3,median,92,0.0
3,median,93,0.0
3,median,94,0.0
3,median,95,0.0
3,median,96,0.0
3,median,97,0.0
3,median,98,0.0
3,median,99,0.0
3,median,100,0.0
3,median,101,0.0
3,median,102,0.0
3,median,103,0.0
3,median,104,0.0
3,median,105,0.0
3,median,106,0.0
3,median,107,0.0
3,median,108,0.0
3,median,109,0.0
3,median,110,0.0
3,median,111,0.0
3,median,112,0.0
3,median,113,0.0
3,median,114,0.0
3,median,115,0.0
3,median,116,0.0
3,median,117,0.0
3,median,118,0.0
3,median,119,0.0
3,median,120,0.0
3,median,121,0.0
3,median,122,0.0
3,median,123,0.0
3,median,124,0.0
3,median,125,0.0
3,median,126,0.0
3,median,127,0.0
3,median,128,0.0
3,median,129,0.0
3,median,130,0.0
3,median,131,0.0
3,median,132,0.0
3,median,133,0.0
3,median,134,0.0
3,median,135,0.0
3,median,136,0.0
3,median,137,0.0
3,median,138,0.0
3,median,139,0.0
3,median,140,0.0
3,median,141,0.0
3,median,142,0.0
3,median,143,0.0
3,median,144,0.0
3,median,145,0.0
3,median,146,0.0
3,median,147,0.0
3,median,148,0.0
3,median,149,0.0
3,median,150,0.0
3,median,151,0.0
3,median,152,0.0
3,median,153,0.0
3,median,154,0.0
3,median,155,0.0
3,median,156,0.0
3,median,157,0.0
3,median,158,0.0
3,median,159,0.0
3,median,160,0.0
3,median,161,0.0
3,median,162,0.0
3,median,163,0.0
3,median,164,0.0
3,median,165,0.0
3,median,166,0.0
3,median,167,0.0
3,median,168,0.0
3,median,169,0.0
3,median,170,0.0
3,median,171,0.0
3,median,172,0.0
3,median,173,0.0
3,median,174,0.0
3,median,175,0.0
3,median,176,0.0
3,median,177,0.0
3,median,178,0.0
3,median,179,0.0
3,median,180,0.0
3,median,181,0.0
3,median,182,0.0
3,median,183,0.0
3,median,184,0.0
3,median,185,0.0
3,median,186,0.0
3,median,187,0.0
3,median,188,0.0
3,median,189,0.0
3,median,190,0.0
3,median,191,0.0
3,median,192,0.0
3,median,193,0.0
3,median,194,0.0
3,median,195,0.0
3,median,196,0.0
3,median,197,0.0
3,median,198,0.0
3,median,199,0.0
3,median,200,0.0
3,median,201,0.0
3,median,202,0.0
3,median,203,0.0
3,median,204,0.0
3,median,205,0.0
3,median,206,0.0
3,median,207,0.0
3,median,208,0.0
3,median,209,0.0
3,median,210,0.0
3,median,211,0.0
3,median,212,0.0
3,median,213,0.0
3,median,214,0.0
3,median,215,0.0
3,median,216,0.0
3,median,217,0.0
3,median,218,0.0
3,median,219,0.0
3,median,220,0.0
3,median,221,0.0
3,median,222,0.0
3,median,223,0.0
3,median,224,0.0
3,median,225,0.0
3,median,226,0.0
3,median,227,0.0
3,median,228,0.0
3,median,229,0.0
3,median,230,0.0
3,median,231,0.0
3,median,232,0.0
3,median,233,0.0
3,median,234,0.0
3,median,235,0.0
3,median,236,0.0
3,median,237,0.0
3,median,238,0.0
3,median,239,0.0
3,median,240,0.0
3,median,241,0.0
3,median,242,0.0
3,median,243,0.0
3,median,244,0.0
3,median,245,0.0
3,median,246,0.0
3,median,247,0.0
3,median,248,0.0
3,median,249,0.0
3,median,250,0.0
3,median,251,0.0
3,median,252,0.0
3,median,253,0.0
3,median,254,0.0
3,median,255,0.0
3,median,256,0.0
3,median,257,0.0
3,median,258,0.0
3,median,259,0.0
3,median,260,0.0
3,median,261,0.0
3,median,262,0.0
3,median,263,0.0
3,median,264,0.0
3,median,265,0.0
3,median,266,0.0
3,median,267,0.0
3,median,268,0.0
3,median,269,0.0
3,median,270,0.0
3,median,271,0.0
3,median,272,0.0
3,median,273,0.0
3,median,274,0.0
3,median,275,0.0
3,median,276,0.0
3,median,277,0.0
3,median,278,0.0
3,median,279,0.0
3,median,280,0.0
3,median,281,0.0
3,median,282,0.0
3,median,283,0.0
3,median,284,0.0
3,median,285,0.0
3,median,286,0.0
3,median,287,0.0
3,median,288,0.0
3,median,289,0.0
3,median,290,0.0
3,median,291,0.0
3,median,292,0.0
3,median,293,0.0
3,median,294,0.0
3,median,295,0.0
3,median,296,0.0
3,median,297,0.0
3,median,298,0.0
3,median,299,0.0
3,median,300,0.0
3,median,301,0.0
3,median,302,0.0
3,median,303,0.0
3,median,304,0.0
3,median,305,0.0
3,median,306,0.0
3,median,307,0.0
3,median,308,0.0
3,median,309,0.0
3,median,310,0.0
3,median,311,0.0
3,median,312,0.0
3,median,313,0.0
3,median,314,0.0
3,median,315,0.0
3,median,316,0.0
3,median,317,0.0
3,median,318,0.0
3,median,319,0.0
3,median,320,0.0
3,median,321,0.0
3,median,322,0.0
3,median,323,0.0
3,median,324,0.0
3,median,325,0.0
3,median,326,0.0
3,median,327,0.0
3,median,328,0.0
3,median,329,0.0
3,median,330,0.0
3,median,331,0.0
3,median,332,0.0
3,median,333,0.0
3,median,334,0.0
3,median,335,0.0
3,median,336,0.0
3,median,337,0.0
3,median,338,0.0
3,median,339,0.0
3,median,340,0.0
3,median,341,0.0
3,median,342,0.0
3,median,343,0.0
3,median,344,0.0
3,median,345,0.0
3,median,346,0.0
3,median,347,0.0
3,median,348,0.0
3,median,349,0.0
3,median,350,0.0
3,median,351,0.0
3,median,352,0.0
3,median,353,0.0
3,median,354,0.0
3,median,355,0.0
3,median,356,0.0
3,median,357,0.0
3,median,358,0.0
3,median,359,0.0
3,median,360,0.0
3,median,361,0.0
3,median,362,0.0
3,median,363,0.0
3,median,364,0.0
3,median,365,0.0
3,median,366,0.0
3,median,367,0.0
3,median,368,0.0
3,median,369,0.0
3,median,370,0.0
3,median,371,0.0
3,median,372,0.0
3,median,373,0.0
3,median,374,0.0
3,median,375,0.0
3,median,376,0.0
3,median,377,0.0
3,median,378,0.0
3,median,379,0.0
3,median,380,0.0
3,median,381,0.0
3,median,382,0.0
3,median,383,0.0
3,median,384,0.0
3,median,385,0.0
3,median,386,0.0
3,median,387,0.0
3,median,388,0.0
3,median,389,0.0
3,median,390,0.0
3,median,391,0.0
3,median,392,0.0
3,median,393,0.0
3,median,394,0.0
3,median,395,0.0
3,median,396,0.0
3,median,397,0.0
3,median,398,0.0
3,median,399,0.0
3,median,400,0.0
3,median,401,0.0
3,median,402,0.0
