model_a,model_b,rbo,normalised,ceiling,depth_a,depth_b,weight_covered,p
gemini3-flash-or,haiku-4.5-direct,0.0,0.0,0.5786811672142856,9,6,0.4685589999999999,0.9
gemini3-flash-or,gemma4-31b-or,0.15973738907142854,0.27603695803751255,0.5786811672142856,9,6,0.4685589999999999,0.9
gemini3-flash-or,mistral-large-or,0.0,0.0,0.6995113857249318,9,12,0.6125795109999999,0.9
gemini3-flash-or,llama3.3-70b-or,0.018353694535714282,0.030197102595088936,0.607796542,9,8,0.5695327899999999,0.9
gemini3-flash-or,deepseek-v4p,0.07948330373855514,0.10035143555821738,0.7920494938255676,9,20,0.6125795109999999,0.9
gemini3-flash-or,gpt5-mini-or,0.24775591121566534,0.3128035724371392,0.7920494938255676,9,20,0.6125795109999999,0.9
gemini3-flash-or,deepseek-v4f,0.01974269948978931,0.024507142814190416,0.8055896046093818,9,23,0.6125795109999999,0.9
gemini3-flash-or,gpt-oss-120b-or,0.16774160747711028,0.21178172422903144,0.7920494938255676,9,20,0.6125795109999999,0.9
gemini3-flash-or,minimax-m2.5-or,0.003311771001800863,0.004039154926891976,0.8199168048127294,9,29,0.6125795109999999,0.9
haiku-4.5-direct,gemma4-31b-or,0.022963499999999998,0.04900876943992112,0.46855899999999995,6,6,0.4685589999999999,0.9
haiku-4.5-direct,mistral-large-or,0.037671888919032476,0.059173379593400396,0.6366357503642401,6,12,0.4685589999999999,0.9
haiku-4.5-direct,llama3.3-70b-or,0.05475922553571428,0.0995652417762886,0.5499833532142856,6,8,0.4685589999999999,0.9
haiku-4.5-direct,deepseek-v4p,0.20590771667995109,0.2948582457491858,0.6983278224313307,6,20,0.4685589999999999,0.9
haiku-4.5-direct,gpt5-mini-or,0.06301888194139595,0.09024254786525111,0.6983278224313307,6,20,0.4685589999999999,0.9
haiku-4.5-direct,deepseek-v4f,0.2699632814769367,0.38165199691309687,0.7073545629538734,6,23,0.4685589999999999,0.9
haiku-4.5-direct,gpt-oss-120b-or,0.05841831574973687,0.08365457292872126,0.6983278224313307,6,20,0.4685589999999999,0.9
haiku-4.5-direct,minimax-m2.5-or,0.09217511771632081,0.12857350041773147,0.7169060297561053,6,29,0.4685589999999999,0.9
gemma4-31b-or,mistral-large-or,0.008399980602409091,0.013194327521825765,0.6366357503642401,6,12,0.4685589999999999,0.9
gemma4-31b-or,llama3.3-70b-or,0.05010495107142857,0.09110266843277816,0.5499833532142856,6,8,0.4685589999999999,0.9
gemma4-31b-or,deepseek-v4p,0.0,0.0,0.6983278224313307,6,20,0.4685589999999999,0.9
gemma4-31b-or,gpt5-mini-or,0.3865856741948738,0.5535876729770254,0.6983278224313307,6,20,0.4685589999999999,0.9
gemma4-31b-or,deepseek-v4f,0.0,0.0,0.7073545629538734,6,23,0.4685589999999999,0.9
gemma4-31b-or,gpt-oss-120b-or,0.11190220239423676,0.16024308183029687,0.6983278224313307,6,20,0.4685589999999999,0.9
gemma4-31b-or,minimax-m2.5-or,0.023475311953714224,0.03274531246682447,0.7169060297561053,6,29,0.4685589999999999,0.9
mistral-large-or,llama3.3-70b-or,0.015443989493318183,0.02254368872312066,0.6850693195332727,12,8,0.5695327899999999,0.9
mistral-large-or,deepseek-v4p,0.07662740206775176,0.09111954601401479,0.8409546076531809,12,20,0.7175704635189998,0.9
mistral-large-or,gpt5-mini-or,0.027300436093473417,0.03246362627069691,0.8409546076531809,12,20,0.7175704635189998,0.9
mistral-large-or,deepseek-v4f,0.06124482644891019,0.07129714755273153,0.8590080886982664,12,23,0.7175704635189998,0.9
mistral-large-or,gpt-oss-120b-or,0.012897100311931744,0.015336262141333856,0.8409546076531809,12,20,0.7175704635189998,0.9
mistral-large-or,minimax-m2.5-or,0.07821264786124178,0.08906920181475397,0.87811102230273,12,29,0.7175704635189998,0.9
llama3.3-70b-or,deepseek-v4p,0.18596660747711027,0.2423568979872616,0.7673254156227267,8,20,0.5695327899999999,0.9
llama3.3-70b-or,gpt5-mini-or,0.07529145185776359,0.09812193148412847,0.7673254156227267,8,20,0.5695327899999999,0.9
llama3.3-70b-or,deepseek-v4f,0.10798776049231225,0.1385593464918928,0.7793610696527836,8,23,0.5695327899999999,0.9
llama3.3-70b-or,gpt-oss-120b-or,0.0,0.0,0.7673254156227267,8,20,0.5695327899999999,0.9
