model,item_weighted,leaf_equal,n_leaves,n_items
gemma3-1b,0.424307,0.441728,60,469
deepseek-v4f,0.057447,0.056800,60,470
deepseek-v4p,0.044776,0.044871,60,469
gemma4-31b-or,0.029851,0.043843,60,469
mistral-large-or,0.031915,0.041944,60,470
minimax-m2.5-or,0.074468,0.101145,60,470
llama3.3-70b-or,0.031983,0.049259,60,469
gemma3-1b-qat,0.338298,0.392922,60,470
gemini3-flash-or,0.025586,0.035368,60,469
haiku-4.5-direct,0.027778,0.040541,60,468
gpt-oss-120b-or,0.061834,0.078536,60,469
gpt5-mini-or,0.055319,0.064671,60,470
