model,post_money_valuation,pre_vs_post_money,price_per_share,round_size,per_investor_allocation,liquidation_preference_multiple,participation_type,participation_cap,preference_seniority,dividend_rate_pct,dividend_cumulative,antidilution_type,antidilution_base,conversion_ratio,auto_conversion_trigger,redemption_rights,safe_valuation_cap,safe_discount_rate,safe_cap_vs_discount_applies,safe_pre_post,safe_mfn_present,safe_pro_rata_side_letter,note_principal,note_interest_rate,note_maturity_date,note_valuation_cap,note_discount,note_qualified_financing_threshold,current_ownership_pct,founder_ownership_pct,investor_ownership_pct,employee_pool_pct,option_pool_shuffle,fully_diluted_basis,multi_round_stacked_dilution,liquidation_waterfall_payout,preference_stack_payout,convert_vs_preference_decision,board_seats_investor,protective_provisions,information_rights,pro_rata_rights,rofr_cosale,drag_along,vesting_acceleration,vesting_schedule,cliff_present,acceleration_trigger,option_strike_409a,exercise_window,securities_exemption,form_d_fields,s1_use_of_proceeds,s1_risk_factors,financial_statement_qa,flag_offmarket_liqpref,flag_full_ratchet,flag_uncapped_participation,flag_missing_pro_rata,flag_internal_inconsistency
gemma3-1b,0.000000,1.000000,0.375000,0.500000,0.200000,0.666667,0.833333,0.000000,0.454545,0.333333,0.437500,0.200000,0.400000,0.200000,0.000000,0.200000,0.375000,0.444444,0.538462,0.062500,0.285714,0.333333,0.000000,0.000000,0.500000,0.500000,0.333333,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.800000,1.000000,1.000000,0.000000,0.444444,0.166667,0.166667,0.333333,0.166667,0.166667,0.444444,0.222222,0.166667,0.461538,0.428571,0.600000,0.400000,0.000000,1.000000,1.000000,0.600000,0.400000,0.285714,0.076923,0.500000,0.000000
deepseek-v4f,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,0.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.000000,0.100000,0.000000,0.000000,0.076923,0.187500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.666667,0.000000,0.000000,0.250000,0.000000,0.000000,0.111111,0.000000,0.000000,0.083333,0.166667,0.083333,0.000000,0.111111,0.000000,0.000000,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,0.200000,0.100000,0.000000,0.076923,0.250000,0.000000
deepseek-v4p,0.000000,0.052632,0.000000,0.000000,0.000000,0.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.000000,0.100000,0.000000,0.000000,0.307692,0.187500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.000000,0.000000,0.222222,0.083333,0.000000,0.000000,0.000000,0.083333,0.000000,0.111111,0.083333,0.000000,0.000000,0.000000,0.000000,0.500000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000
gemma4-31b-or,0.000000,0.000000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.222222,0.000000,0.000000,0.000000,0.666667,0.000000,0.000000,1.000000,0.000000,0.000000,0.333333,0.000000,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
mistral-large-or,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.055556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.500000,0.000000,0.000000,0.222222,0.000000,0.000000,0.083333,0.000000,0.000000,0.000000,0.111111,0.000000,0.000000,0.000000,0.400000,0.000000,0.000000,0.200000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000,0.200000
minimax-m2.5-or,0.000000,0.000000,0.000000,0.000000,0.400000,0.000000,0.111111,0.000000,0.090909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.444444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.666667,0.000000,0.000000,0.500000,0.500000,0.000000,0.444444,0.166667,0.000000,0.083333,0.000000,0.083333,0.000000,0.111111,0.166667,0.000000,0.000000,0.000000,0.400000,0.000000,0.400000,0.000000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000
llama3.3-70b-or,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.666667,0.000000,0.200000,0.750000,0.000000,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.083333,0.000000,0.000000,0.000000,0.000000,0.500000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gemma3-1b-qat,0.250000,0.315789,0.500000,0.000000,0.600000,0.777778,0.555556,0.000000,0.090909,0.333333,0.000000,0.400000,0.000000,0.400000,0.400000,0.300000,0.250000,0.444444,0.615385,0.062500,0.000000,0.266667,0.000000,0.833333,0.500000,0.250000,0.250000,0.500000,1.000000,1.000000,0.250000,1.000000,1.000000,0.375000,0.600000,1.000000,1.000000,0.000000,0.333333,0.416667,0.166667,0.166667,0.416667,0.250000,0.000000,0.222222,0.250000,0.076923,0.428571,0.600000,0.300000,0.000000,0.400000,1.000000,0.400000,0.700000,0.000000,0.076923,0.250000,1.000000
gemini3-flash-or,0.250000,0.052632,0.125000,0.000000,0.200000,0.111111,0.055556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.666667,0.000000,0.000000,0.250000,0.000000,0.000000,0.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.200000
haiku-4.5-direct,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.333333,0.000000,0.000000,0.333333,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.166667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000,0.076923,0.000000,0.000000
